"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";Noise;10;3;2;65;95;1;5;1;false;542;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;6;1;0;100;1;7;1;false;471;
"undefined";"undefined";"undefined";"undefined";Noise;10;4;1;65;95;1;4;1;false;463;
"undefined";"undefined";"undefined";"undefined";Noise;14;6;1;65;95;1;5;1;false;461;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;1;0;100;1;4;1;false;494;
"undefined";"undefined";"undefined";"undefined";Noise;14;7;2;65;95;1;2;1;false;477;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;5;0;0;100;1;6;1;false;474;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;7;2;0;100;1;5;1;false;547;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;1;0;100;1;6;1;false;409;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;1;65;95;1;9;1;false;513;
"undefined";"undefined";"undefined";"undefined";Noise;6;3;2;65;95;1;6;1;false;563;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;0;0;100;1;8;1;false;467;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;0;0;100;1;4;1;false;459;
"undefined";"undefined";"undefined";"undefined";Noise;6;4;1;65;95;1;9;1;false;511;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;4;1;0;100;1;1;1;true;421;
"undefined";"undefined";"undefined";"undefined";Noise;6;6;1;65;95;1;9;1;false;468;
"undefined";"undefined";"undefined";"undefined";Noise;14;5;0;65;95;1;8;1;false;533;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;4;1;0;100;1;1;1;true;413;
"undefined";"undefined";"undefined";"undefined";Noise;10;5;0;65;95;1;6;1;false;410;
"undefined";"undefined";"undefined";"undefined";Noise;6;7;2;65;95;1;3;1;false;471;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;7;2;65;95;1;1;1;true;438;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;3;2;0;100;1;3;1;false;451;
"undefined";"undefined";"undefined";"undefined";Noise;14;5;0;65;95;1;1;1;true;419;
"undefined";"undefined";"undefined";"undefined";Noise;14;4;1;65;95;1;8;1;false;423;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;1;65;95;1;5;1;false;407;
"undefined";"undefined";"undefined";"undefined";Noise;14;3;2;65;95;1;8;1;false;419;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;5;0;0;100;1;1;1;true;389;
"undefined";"undefined";"undefined";"undefined";Noise;10;5;0;65;95;1;8;1;false;406;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;5;0;0;100;1;9;1;false;418;
"undefined";"undefined";"undefined";"undefined";Noise;10;4;1;65;95;1;6;1;false;466;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;1;65;95;1;9;1;false;440;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;5;0;65;95;1;6;1;false;414;
"undefined";"undefined";"undefined";"undefined";Noise;14;7;2;65;95;1;6;1;false;382;
"undefined";"undefined";"undefined";"undefined";Noise;6;5;0;65;95;1;9;1;false;553;
"undefined";"undefined";"undefined";"undefined";Noise;6;6;1;65;95;1;8;1;false;587;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;3;2;0;100;1;6;1;false;506;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;4;1;0;100;1;2;1;false;392;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;6;1;0;100;1;6;1;false;376;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;1;65;95;1;6;1;false;415;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;3;2;65;95;1;8;1;false;353;
"undefined";"undefined";"undefined";"undefined";Noise;6;4;1;65;95;1;7;1;false;563;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;5;0;0;100;1;7;1;false;415;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;1;65;95;1;6;1;false;401;
"undefined";"undefined";"undefined";"undefined";Noise;14;4;1;65;95;1;8;1;false;423;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;7;2;0;100;1;9;1;false;416;
"undefined";"undefined";"undefined";"undefined";Noise;10;7;2;65;95;1;4;1;false;467;
"undefined";"undefined";"undefined";"undefined";Noise;6;5;0;65;95;1;9;1;false;593;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;7;2;0;100;1;9;1;false;440;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;3;2;0;100;1;3;1;false;472;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;3;2;0;100;1;4;1;false;452;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;3;2;0;100;1;9;1;false;417;
"undefined";"undefined";"undefined";"undefined";Noise;10;3;2;65;95;1;8;1;false;424;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;5;0;65;95;1;7;1;false;395;
"undefined";"undefined";"undefined";"undefined";Noise;14;3;2;65;95;1;9;1;false;683;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;4;1;0;100;1;4;1;false;442;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;3;2;0;100;1;9;1;false;410;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;4;1;0;100;1;1;1;true;376;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;4;1;0;100;1;5;1;false;384;
"undefined";"undefined";"undefined";"undefined";Noise;6;3;2;65;95;1;8;1;false;519;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;7;2;0;100;1;1;1;true;467;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;3;2;65;95;1;6;1;false;725;
"undefined";"undefined";"undefined";"undefined";Noise;6;3;2;65;95;1;3;1;false;605;
"undefined";"undefined";"undefined";"undefined";Noise;10;5;0;65;95;1;6;1;false;479;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;5;0;0;100;1;5;1;false;449;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;6;1;65;95;1;7;1;false;384;
"undefined";"undefined";"undefined";"undefined";Noise;14;3;2;65;95;1;9;1;false;398;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;1;0;100;1;9;1;false;358;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;3;2;0;100;1;7;1;false;471;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;7;2;0;100;1;3;1;false;379;
"undefined";"undefined";"undefined";"undefined";Noise;6;7;2;65;95;1;3;1;false;473;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;7;2;65;95;1;5;1;false;445;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;6;1;0;100;1;3;1;false;441;
"undefined";"undefined";"undefined";"undefined";Noise;14;5;0;65;95;1;6;1;false;467;
"undefined";"undefined";"undefined";"undefined";Noise;6;7;2;65;95;1;2;1;false;445;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;5;0;0;100;1;4;1;false;488;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;7;2;0;100;1;7;1;false;437;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;1;0;100;1;9;1;false;452;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;1;65;95;1;3;1;false;431;
"undefined";"undefined";"undefined";"undefined";Noise;10;3;2;65;95;1;5;1;false;675;
"undefined";"undefined";"undefined";"undefined";Noise;14;4;1;65;95;1;9;1;false;516;
"undefined";"undefined";"undefined";"undefined";Noise;10;3;2;65;95;1;8;1;false;543;
"undefined";"undefined";"undefined";"undefined";Noise;10;3;2;65;95;1;4;1;false;460;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;4;1;0;100;1;9;1;false;403;
"undefined";"undefined";"undefined";"undefined";Noise;14;4;1;65;95;1;1;1;true;439;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;7;2;0;100;1;8;1;false;439;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;7;2;0;100;1;3;1;false;419;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;3;2;0;100;1;4;1;false;445;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;6;1;65;95;1;2;1;false;491;
"undefined";"undefined";"undefined";"undefined";Noise;6;7;2;65;95;1;9;1;false;454;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;6;1;0;100;1;8;1;false;393;
"undefined";"undefined";"undefined";"undefined";Noise;10;4;1;65;95;1;8;1;false;481;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;3;2;65;95;1;1;1;true;426;
"undefined";"undefined";"undefined";"undefined";Noise;10;3;2;65;95;1;6;1;false;547;
"undefined";"undefined";"undefined";"undefined";Noise;6;7;2;65;95;1;8;1;false;460;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;5;0;0;100;1;6;1;false;422;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;5;0;0;100;1;4;1;false;404;
"undefined";"undefined";"undefined";"undefined";Noise;10;3;2;65;95;1;1;1;true;543;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;7;2;65;95;1;3;1;false;457;
"undefined";"undefined";"undefined";"undefined";Noise;6;6;1;65;95;1;8;1;false;477;
"undefined";"undefined";"undefined";"undefined";Noise;14;3;2;65;95;1;1;1;true;471;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;0;0;100;1;4;1;false;484;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;7;2;0;100;1;1;1;true;464;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;7;2;65;95;1;9;1;false;454;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;1;65;95;1;5;1;false;503;
"undefined";"undefined";"undefined";"undefined";Noise;10;7;2;65;95;1;7;1;false;492;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;3;2;0;100;1;6;1;false;467;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;3;2;0;100;1;3;1;false;443;
"undefined";"undefined";"undefined";"undefined";Noise;6;6;1;65;95;1;4;1;false;436;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;3;2;0;100;1;6;1;false;476;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;4;1;0;100;1;8;1;false;429;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;5;0;65;95;1;4;1;false;403;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;1;0;100;1;6;1;false;430;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;1;0;100;1;1;1;true;392;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;4;1;0;100;1;2;1;false;479;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;6;1;65;95;1;1;1;true;378;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;7;2;0;100;1;3;1;false;380;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;1;0;100;1;9;1;false;409;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;3;2;0;100;1;7;1;false;479;
"undefined";"undefined";"undefined";"undefined";Noise;14;7;2;65;95;1;3;1;false;726;
"undefined";"undefined";"undefined";"undefined";Noise;10;5;0;65;95;1;3;1;false;479;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;5;0;0;100;1;2;1;false;422;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;3;2;0;100;1;3;1;false;371;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;4;1;0;100;1;7;1;false;392;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;1;0;100;1;4;1;false;365;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;1;0;100;1;1;1;true;465;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;3;2;0;100;1;5;1;false;509;
"undefined";"undefined";"undefined";"undefined";Noise;14;3;2;65;95;1;9;1;false;534;
"undefined";"undefined";"undefined";"undefined";Noise;14;5;0;65;95;1;8;1;false;454;
"undefined";"undefined";"undefined";"undefined";Noise;14;6;1;65;95;1;9;1;false;483;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;4;1;0;100;1;2;1;false;442;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;7;2;0;100;1;9;1;false;356;
"undefined";"undefined";"undefined";"undefined";Noise;10;5;0;65;95;1;5;1;false;456;
"undefined";"undefined";"undefined";"undefined";Noise;6;7;2;65;95;1;9;1;false;473;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;3;2;0;100;1;2;1;false;490;
"undefined";"undefined";"undefined";"undefined";Noise;14;7;2;65;95;1;2;1;false;401;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;3;2;0;100;1;5;1;false;410;
"undefined";"undefined";"undefined";"undefined";Noise;10;7;2;65;95;1;9;1;false;443;
"undefined";"undefined";"undefined";"undefined";Noise;14;6;1;65;95;1;6;1;false;408;
"undefined";"undefined";"undefined";"undefined";Noise;10;3;2;65;95;1;4;1;false;439;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;4;1;0;100;1;7;1;false;531;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;4;1;0;100;1;2;1;false;496;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;4;1;0;100;1;6;1;false;398;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;4;1;0;100;1;4;1;false;412;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;3;2;0;100;1;9;1;false;448;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;6;1;65;95;1;2;1;false;395;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;5;0;65;95;1;3;1;false;370;
"undefined";"undefined";"undefined";"undefined";Noise;10;5;0;65;95;1;3;1;false;403;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;3;2;0;100;1;7;1;false;368;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;1;0;100;1;2;1;false;360;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;4;1;0;100;1;4;1;false;379;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;7;2;0;100;1;9;1;false;386;
"undefined";"undefined";"undefined";"undefined";Noise;6;4;1;65;95;1;4;1;false;676;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;3;2;65;95;1;7;1;false;404;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;0;0;100;1;4;1;false;483;
"undefined";"undefined";"undefined";"undefined";Noise;6;7;2;65;95;1;8;1;false;471;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;7;2;0;100;1;9;1;false;433;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;4;1;0;100;1;5;1;false;490;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;7;2;0;100;1;2;1;false;422;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;5;0;0;100;1;5;1;false;430;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;4;1;0;100;1;9;1;false;570;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;5;0;0;100;1;6;1;false;415;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;3;2;0;100;1;1;1;true;373;
"undefined";"undefined";"undefined";"undefined";Noise;6;4;1;65;95;1;7;1;false;641;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;1;65;95;1;1;1;true;441;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;0;0;100;1;8;1;false;415;
"undefined";"undefined";"undefined";"undefined";Noise;14;6;1;65;95;1;9;1;false;450;
"undefined";"undefined";"undefined";"undefined";Noise;6;4;1;65;95;1;5;1;false;605;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;6;1;0;100;1;2;1;false;491;
"undefined";"undefined";"undefined";"undefined";Noise;10;4;1;65;95;1;2;1;false;706;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;7;2;0;100;1;3;1;false;469;
"undefined";"undefined";"undefined";"undefined";Noise;6;4;1;65;95;1;9;1;false;512;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;5;0;0;100;1;4;1;false;426;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;5;0;65;95;1;6;1;false;393;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;1;65;95;1;9;1;false;449;
"undefined";"undefined";"undefined";"undefined";Noise;10;7;2;65;95;1;6;1;false;431;
"undefined";"undefined";"undefined";"undefined";Noise;14;7;2;65;95;1;6;1;false;385;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;3;2;65;95;1;9;1;false;480;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;7;2;0;100;1;8;1;false;391;
"undefined";"undefined";"undefined";"undefined";Noise;6;6;1;65;95;1;8;1;false;599;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;7;2;0;100;1;3;1;false;430;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;1;0;100;1;9;1;false;447;
"undefined";"undefined";"undefined";"undefined";Noise;10;7;2;65;95;1;6;1;false;471;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;5;0;0;100;1;9;1;false;507;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;7;2;0;100;1;3;1;false;493;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;6;1;65;95;1;2;1;false;455;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;1;0;100;1;2;1;false;444;
"undefined";"undefined";"undefined";"undefined";Noise;10;3;2;65;95;1;7;1;false;682;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;7;2;0;100;1;3;1;false;425;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;4;1;0;100;1;9;1;false;456;
"undefined";"undefined";"undefined";"undefined";Noise;6;3;2;65;95;1;5;1;false;646;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;4;1;0;100;1;9;1;false;434;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;5;0;65;95;1;9;1;false;419;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;7;2;0;100;1;8;1;false;476;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;3;2;0;100;1;8;1;false;580;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;4;1;0;100;1;5;1;false;453;
"undefined";"undefined";"undefined";"undefined";Noise;10;5;0;65;95;1;6;1;false;500;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;6;1;0;100;1;5;1;false;491;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;6;1;0;100;1;1;1;true;425;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;1;65;95;1;5;1;false;500;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;1;0;100;1;7;1;false;460;
"undefined";"undefined";"undefined";"undefined";Noise;10;7;2;65;95;1;4;1;false;433;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;7;2;65;95;1;4;1;false;461;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;1;0;100;1;5;1;false;413;
"undefined";"undefined";"undefined";"undefined";Noise;14;3;2;65;95;1;2;1;false;682;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;4;1;0;100;1;9;1;false;527;
"undefined";"undefined";"undefined";"undefined";Noise;14;3;2;65;95;1;3;1;false;548;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;7;2;0;100;1;6;1;false;435;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;7;2;65;95;1;9;1;false;437;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;3;2;0;100;1;5;1;false;511;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;4;1;0;100;1;7;1;false;375;
"undefined";"undefined";"undefined";"undefined";Noise;14;6;1;65;95;1;2;1;false;449;
"undefined";"undefined";"undefined";"undefined";Noise;6;3;2;65;95;1;7;1;false;665;
"undefined";"undefined";"undefined";"undefined";Noise;14;7;2;65;95;1;2;1;false;427;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;5;0;65;95;1;7;1;false;399;
"undefined";"undefined";"undefined";"undefined";Noise;6;5;0;65;95;1;8;1;false;632;
"undefined";"undefined";"undefined";"undefined";Noise;10;7;2;65;95;1;7;1;false;513;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;3;2;65;95;1;7;1;false;479;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;6;1;65;95;1;2;1;false;443;
"undefined";"undefined";"undefined";"undefined";Noise;6;5;0;65;95;1;7;1;false;477;
"undefined";"undefined";"undefined";"undefined";Noise;14;6;1;65;95;1;6;1;false;483;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;1;65;95;1;4;1;false;477;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;5;0;0;100;1;7;1;false;430;
"undefined";"undefined";"undefined";"undefined";Noise;14;5;0;65;95;1;5;1;false;464;
"undefined";"undefined";"undefined";"undefined";Noise;6;4;1;65;95;1;4;1;false;680;
"undefined";"undefined";"undefined";"undefined";Noise;6;3;2;65;95;1;2;1;false;658;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;5;0;0;100;1;1;1;true;426;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;3;2;0;100;1;9;1;false;451;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;7;2;0;100;1;8;1;false;384;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;5;0;0;100;1;5;1;false;419;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;4;1;0;100;1;2;1;false;394;
"undefined";"undefined";"undefined";"undefined";Noise;10;4;1;65;95;1;9;1;false;613;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;1;0;100;1;2;1;false;386;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;0;0;100;1;7;1;false;440;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;1;65;95;1;8;1;false;496;
"undefined";"undefined";"undefined";"undefined";Noise;10;3;2;65;95;1;7;1;false;468;
"undefined";"undefined";"undefined";"undefined";Noise;6;5;0;65;95;1;8;1;false;642;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;7;2;0;100;1;9;1;false;420;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;7;2;0;100;1;6;1;false;395;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;7;2;0;100;1;7;1;false;409;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;5;0;0;100;1;8;1;false;435;
"undefined";"undefined";"undefined";"undefined";Noise;14;5;0;65;95;1;6;1;false;494;
"undefined";"undefined";"undefined";"undefined";Noise;14;4;1;65;95;1;6;1;false;470;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;5;0;0;100;1;4;1;false;412;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;7;2;0;100;1;6;1;false;421;
"undefined";"undefined";"undefined";"undefined";Noise;14;5;0;65;95;1;7;1;false;521;
"undefined";"undefined";"undefined";"undefined";Noise;14;3;2;65;95;1;7;1;false;556;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;7;2;0;100;1;5;1;false;449;
