"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Indentation_Type;Highlight_Position;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;Last;0;1;1;1;true;1575;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;First;0;1;10;1;false;676;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;First;0;1;7;1;false;734;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;First;2;1;5;1;false;716;
"undefined";"undefined";"undefined";"undefined";14;4;Symmetric;First;1;1;6;1;false;534;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;Last;1;1;5;1;false;881;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;First;1;1;10;1;false;674;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;First;1;1;9;1;false;512;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;First;2;1;6;1;false;476;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;Last;1;1;9;1;false;1026;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;Last;2;1;10;1;false;824;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;Last;1;1;10;1;false;803;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;Last;1;1;8;1;false;731;
"undefined";"undefined";"undefined";"undefined";14;4;Symmetric;Last;1;1;5;1;false;760;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;Last;2;1;10;1;false;812;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;Last;0;1;2;1;false;913;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;Last;2;1;1;1;true;1384;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;Last;2;1;2;1;false;1219;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;First;2;1;7;1;false;551;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;First;0;1;2;1;false;541;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;First;1;1;7;1;false;434;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;First;1;1;7;1;false;519;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;First;1;1;10;1;false;412;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;Last;2;1;7;1;false;1003;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;Last;1;1;3;1;false;885;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;Last;2;1;9;1;false;665;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;First;2;1;8;1;false;683;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;Last;2;1;3;1;false;888;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;Last;2;1;3;1;false;1115;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;Last;2;1;3;1;false;872;
"undefined";"undefined";"undefined";"undefined";14;5;Symmetric;Last;0;1;9;1;false;958;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;Last;0;1;3;1;false;744;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;First;1;1;9;1;false;508;
"undefined";"undefined";"undefined";"undefined";14;7;Symmetric;First;2;1;9;1;false;519;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;First;1;1;9;1;false;707;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;First;2;1;5;1;false;679;
"undefined";"undefined";"undefined";"undefined";14;7;Symmetric;First;2;1;9;1;false;466;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;First;2;1;2;1;false;444;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;Last;0;1;1;1;true;1058;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;First;2;1;9;1;false;702;
"undefined";"undefined";"undefined";"undefined";14;5;Symmetric;Last;0;1;4;1;false;797;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;First;2;1;10;1;false;640;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;First;1;1;5;1;false;577;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;First;0;1;10;1;false;687;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;Last;0;1;6;1;false;1211;
"undefined";"undefined";"undefined";"undefined";14;5;Symmetric;Last;0;1;9;1;false;829;
"undefined";"undefined";"undefined";"undefined";14;5;Symmetric;First;0;1;8;1;false;509;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;First;0;1;1;1;true;607;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;Last;0;1;1;1;true;1089;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;Last;2;1;1;1;true;638;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;Last;1;1;3;1;false;855;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;First;1;1;7;1;false;495;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;Last;0;1;7;1;false;975;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;Last;2;1;1;1;true;740;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;First;2;1;8;1;false;529;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;Last;2;1;4;1;false;940;
"undefined";"undefined";"undefined";"undefined";14;4;Symmetric;Last;1;1;8;1;false;691;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;Last;0;1;3;1;false;683;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;First;1;1;7;1;false;585;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;First;2;1;1;1;true;465;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;First;0;1;8;1;false;397;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;Last;0;1;6;1;false;865;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;Last;0;1;5;1;false;1317;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;First;1;1;1;1;true;501;
"undefined";"undefined";"undefined";"undefined";14;7;Symmetric;First;2;1;1;1;true;451;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;Last;1;1;10;1;false;1079;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;First;2;1;5;1;false;775;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;Last;1;1;8;1;false;1119;
"undefined";"undefined";"undefined";"undefined";14;4;Symmetric;Last;1;1;9;1;false;834;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;First;1;1;3;1;false;488;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;First;2;1;3;1;false;490;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;First;2;1;4;1;false;449;
"undefined";"undefined";"undefined";"undefined";14;7;Symmetric;First;2;1;9;1;false;531;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;Last;2;1;5;1;false;897;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;First;0;1;1;1;true;471;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;Last;1;1;2;1;false;1554;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;Last;2;1;3;1;false;1076;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;First;1;1;4;1;false;479;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;First;2;1;5;1;false;432;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;Last;2;1;4;1;false;952;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;Last;1;1;6;1;false;998;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;Last;1;1;4;1;false;1281;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;Last;0;1;7;1;false;977;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;Last;1;1;4;1;false;1026;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;Last;2;1;6;1;false;912;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;Last;2;1;1;1;true;1227;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;First;1;1;1;1;true;523;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;Last;0;1;5;1;false;848;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;Last;1;1;6;1;false;864;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;Last;1;1;9;1;false;855;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;First;0;1;6;1;false;734;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;Last;1;1;3;1;false;1416;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;Last;1;1;4;1;false;810;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;Last;2;1;3;1;false;846;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;Last;2;1;3;1;false;748;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;Last;2;1;6;1;false;814;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;First;1;1;8;1;false;466;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;First;1;1;8;1;false;699;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;First;2;1;8;1;false;663;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;Last;0;1;1;1;true;813;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;First;0;1;3;1;false;561;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;Last;0;1;10;1;false;1012;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;Last;1;1;9;1;false;1355;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;Last;2;1;2;1;false;950;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;First;2;1;9;1;false;574;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;First;2;1;8;1;false;507;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;First;1;1;10;1;false;622;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;Last;0;1;1;1;true;964;
"undefined";"undefined";"undefined";"undefined";14;4;Symmetric;First;1;1;5;1;false;521;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;First;2;1;10;1;false;491;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;First;0;1;7;1;false;464;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;First;2;1;10;1;false;579;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;Last;1;1;9;1;false;739;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;Last;2;1;3;1;false;849;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;First;2;1;2;1;false;543;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;Last;1;1;6;1;false;849;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;Last;1;1;3;1;false;988;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;First;2;1;7;1;false;697;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;First;2;1;9;1;false;666;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;Last;1;1;10;1;false;895;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;Last;2;1;7;1;false;957;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;Last;2;1;2;1;false;868;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;First;1;1;5;1;false;597;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;First;1;1;1;1;true;747;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;Last;1;1;5;1;false;1462;
"undefined";"undefined";"undefined";"undefined";14;7;Symmetric;Last;2;1;3;1;false;1526;
"undefined";"undefined";"undefined";"undefined";14;4;Symmetric;Last;1;1;2;1;false;914;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;First;1;1;6;1;false;759;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;First;1;1;9;1;false;494;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;First;1;1;10;1;false;706;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;Last;0;1;10;1;false;1445;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;Last;2;1;8;1;false;989;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;First;2;1;3;1;false;421;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;Last;2;1;8;1;false;820;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;First;1;1;5;1;false;605;
"undefined";"undefined";"undefined";"undefined";14;5;Symmetric;First;0;1;4;1;false;460;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;Last;1;1;4;1;false;1191;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;First;0;1;1;1;true;704;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;First;1;1;7;1;false;709;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;First;1;1;1;1;true;670;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;Last;1;1;4;1;false;1053;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;Last;2;1;1;1;true;936;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;Last;2;1;1;1;true;711;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;Last;1;1;7;1;false;680;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;First;1;1;6;1;false;704;
"undefined";"undefined";"undefined";"undefined";14;4;Symmetric;First;1;1;6;1;false;480;
"undefined";"undefined";"undefined";"undefined";14;4;Symmetric;First;1;1;6;1;false;443;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;Last;2;1;3;1;false;933;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;First;1;1;8;1;false;573;
"undefined";"undefined";"undefined";"undefined";14;5;Symmetric;Last;0;1;10;1;false;612;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;Last;2;1;9;1;false;888;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;First;1;1;3;1;false;619;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;First;1;1;4;1;false;491;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;First;1;1;5;1;false;642;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;Last;1;1;1;1;true;891;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;First;2;1;4;1;false;557;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;Last;2;1;1;1;true;693;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;Last;1;1;3;1;false;835;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;Last;2;1;4;1;false;870;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;Last;1;1;8;1;false;934;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;First;0;1;3;1;false;734;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;Last;2;1;10;1;false;796;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;Last;2;1;6;1;false;945;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;First;0;1;6;1;false;613;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;Last;2;1;2;1;false;869;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;Last;2;1;7;1;false;705;
"undefined";"undefined";"undefined";"undefined";14;5;Symmetric;Last;0;1;9;1;false;694;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;Last;1;1;10;1;false;935;
"undefined";"undefined";"undefined";"undefined";14;7;Symmetric;Last;2;1;5;1;false;871;
"undefined";"undefined";"undefined";"undefined";14;7;Symmetric;First;2;1;9;1;false;548;
"undefined";"undefined";"undefined";"undefined";14;4;Symmetric;First;1;1;5;1;false;466;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;Last;1;1;6;1;false;1342;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;First;1;1;2;1;false;507;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;First;2;1;7;1;false;553;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;First;0;1;8;1;false;735;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;Last;2;1;5;1;false;1967;
"undefined";"undefined";"undefined";"undefined";14;7;Symmetric;Last;2;1;9;1;false;741;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;First;2;1;1;1;true;501;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;First;0;1;10;1;false;446;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;First;2;1;1;1;true;753;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;First;1;1;4;1;false;622;
"undefined";"undefined";"undefined";"undefined";14;7;Symmetric;Last;2;1;1;1;true;751;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;First;2;1;9;1;false;489;
"undefined";"undefined";"undefined";"undefined";14;7;Symmetric;First;2;1;4;1;false;447;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;First;1;1;7;1;false;773;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;Last;1;1;3;1;false;949;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;First;2;1;5;1;false;800;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;Last;0;1;3;1;false;1069;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;First;1;1;6;1;false;744;
"undefined";"undefined";"undefined";"undefined";14;7;Symmetric;Last;2;1;10;1;false;763;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;First;1;1;4;1;false;519;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;First;1;1;2;1;false;693;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;First;0;1;10;1;false;593;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;First;1;1;10;1;false;739;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;Last;2;1;5;1;false;887;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;Last;1;1;7;1;false;943;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;First;2;1;1;1;true;657;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;Last;2;1;5;1;false;902;
"undefined";"undefined";"undefined";"undefined";14;4;Symmetric;First;1;1;10;1;false;485;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;First;1;1;2;1;false;660;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;First;2;1;5;1;false;693;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;Last;1;1;7;1;false;1005;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;First;1;1;6;1;false;606;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;Last;0;1;3;1;false;866;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;Last;1;1;1;1;true;892;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;Last;2;1;5;1;false;1064;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;Last;2;1;7;1;false;881;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;Last;0;1;10;1;false;966;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;Last;2;1;4;1;false;1196;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;Last;0;1;4;1;false;1130;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;First;0;1;7;1;false;542;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;Last;0;1;4;1;false;866;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;First;2;1;10;1;false;695;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;First;1;1;2;1;false;496;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;Last;1;1;3;1;false;973;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;Last;1;1;7;1;false;904;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;First;2;1;2;1;false;665;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;Last;1;1;6;1;false;795;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;First;0;1;10;1;false;645;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;First;2;1;5;1;false;565;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;First;1;1;1;1;true;593;
"undefined";"undefined";"undefined";"undefined";14;5;Symmetric;Last;0;1;4;1;false;768;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;Last;1;1;5;1;false;894;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;First;0;1;3;1;false;551;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;Last;1;1;5;1;false;806;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;First;2;1;6;1;false;710;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;Last;1;1;4;1;false;859;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;First;2;1;9;1;false;665;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;Last;2;1;2;1;false;982;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;First;2;1;7;1;false;640;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;First;1;1;9;1;false;756;
"undefined";"undefined";"undefined";"undefined";14;5;Symmetric;First;0;1;5;1;false;480;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;First;1;1;2;1;false;480;
"undefined";"undefined";"undefined";"undefined";14;5;Symmetric;Last;0;1;6;1;false;820;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;Last;2;1;2;1;false;936;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;First;0;1;6;1;false;753;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;First;2;1;10;1;false;653;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;Last;2;1;9;1;false;841;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;Last;1;1;8;1;false;1128;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;First;1;1;7;1;false;783;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;Last;2;1;3;1;false;1087;
"undefined";"undefined";"undefined";"undefined";14;4;Symmetric;Last;1;1;7;1;false;814;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;Last;2;1;1;1;true;866;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;Last;1;1;1;1;true;838;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;Last;0;1;6;1;false;1106;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;Last;0;1;9;1;false;910;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;First;1;1;2;1;false;507;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;Last;1;1;9;1;false;895;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;Last;0;1;4;1;false;855;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;Last;1;1;8;1;false;970;
"undefined";"undefined";"undefined";"undefined";14;4;Symmetric;First;1;1;5;1;false;477;
"undefined";"undefined";"undefined";"undefined";14;5;Symmetric;First;0;1;3;1;false;455;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;Last;2;1;6;1;false;1238;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;Last;2;1;6;1;false;986;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;Last;2;1;7;1;false;902;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;First;2;1;10;1;false;644;
"undefined";"undefined";"undefined";"undefined";14;7;Asymmetric;Last;2;1;2;1;false;874;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;First;2;1;2;1;false;554;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;Last;2;1;5;1;false;612;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;First;2;1;2;1;false;768;
"undefined";"undefined";"undefined";"undefined";14;3;Asymmetric;Last;2;1;2;1;false;853;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;Last;1;1;8;1;false;1441;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;First;1;1;6;1;false;547;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;First;1;1;10;1;false;727;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;Last;1;1;7;1;false;823;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;First;1;1;1;1;true;486;
"undefined";"undefined";"undefined";"undefined";14;5;Symmetric;Last;0;1;6;1;false;802;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;Last;1;1;4;1;false;1161;
"undefined";"undefined";"undefined";"undefined";14;6;Symmetric;First;1;1;2;1;false;469;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;First;2;1;2;1;false;720;
"undefined";"undefined";"undefined";"undefined";4;6;Asymmetric;Last;1;1;6;1;false;914;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;First;0;1;2;1;false;754;
"undefined";"undefined";"undefined";"undefined";14;6;Asymmetric;First;1;1;8;1;false;562;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;First;1;1;1;1;true;474;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;First;2;1;4;1;false;663;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;First;2;1;1;1;true;541;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;Last;1;1;4;1;false;1135;
