"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Body_Lines;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";8;7;4;2;1;7;1;false;622;
"undefined";"undefined";"undefined";"undefined";5;3;4;2;1;3;1;false;1572;
"undefined";"undefined";"undefined";"undefined";5;4;4;1;1;7;1;false;925;
"undefined";"undefined";"undefined";"undefined";5;9;4;4;1;3;1;false;685;
"undefined";"undefined";"undefined";"undefined";8;5;4;0;1;3;1;false;658;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;1;10;1;false;680;
"undefined";"undefined";"undefined";"undefined";5;2;4;3;1;3;1;false;850;
"undefined";"undefined";"undefined";"undefined";4;2;4;3;1;10;1;false;918;
"undefined";"undefined";"undefined";"undefined";6;8;4;3;1;5;1;false;621;
"undefined";"undefined";"undefined";"undefined";2;3;4;2;1;10;1;false;1417;
"undefined";"undefined";"undefined";"undefined";5;2;4;3;1;5;1;false;1396;
"undefined";"undefined";"undefined";"undefined";8;6;4;1;1;1;1;true;702;
"undefined";"undefined";"undefined";"undefined";4;8;4;3;1;3;1;false;667;
"undefined";"undefined";"undefined";"undefined";4;2;4;3;1;1;1;true;753;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;1;2;1;false;534;
"undefined";"undefined";"undefined";"undefined";5;7;4;2;1;7;1;false;699;
"undefined";"undefined";"undefined";"undefined";4;7;4;2;1;7;1;false;734;
"undefined";"undefined";"undefined";"undefined";5;1;4;4;1;4;1;false;727;
"undefined";"undefined";"undefined";"undefined";6;2;4;3;1;5;1;false;713;
"undefined";"undefined";"undefined";"undefined";5;9;4;4;1;5;1;false;625;
"undefined";"undefined";"undefined";"undefined";2;4;4;1;1;4;1;false;1582;
"undefined";"undefined";"undefined";"undefined";2;7;4;2;1;6;1;false;2300;
"undefined";"undefined";"undefined";"undefined";8;2;4;3;1;4;1;false;1310;
"undefined";"undefined";"undefined";"undefined";8;7;4;2;1;4;1;false;753;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;1;2;1;false;649;
"undefined";"undefined";"undefined";"undefined";6;7;4;2;1;6;1;false;788;
"undefined";"undefined";"undefined";"undefined";5;7;4;2;1;10;1;false;862;
"undefined";"undefined";"undefined";"undefined";6;1;4;4;1;9;1;false;741;
"undefined";"undefined";"undefined";"undefined";5;8;4;3;1;2;1;false;782;
"undefined";"undefined";"undefined";"undefined";6;6;4;1;1;10;1;false;743;
"undefined";"undefined";"undefined";"undefined";5;5;4;0;1;10;1;false;775;
"undefined";"undefined";"undefined";"undefined";5;9;4;4;1;2;1;false;664;
"undefined";"undefined";"undefined";"undefined";8;7;4;2;1;6;1;false;676;
"undefined";"undefined";"undefined";"undefined";4;9;4;4;1;4;1;false;579;
"undefined";"undefined";"undefined";"undefined";5;9;4;4;1;7;1;false;563;
"undefined";"undefined";"undefined";"undefined";6;4;4;1;1;2;1;false;779;
"undefined";"undefined";"undefined";"undefined";2;3;4;2;1;2;1;false;2038;
"undefined";"undefined";"undefined";"undefined";2;4;4;1;1;9;1;false;1723;
"undefined";"undefined";"undefined";"undefined";2;8;4;3;1;1;1;true;960;
"undefined";"undefined";"undefined";"undefined";6;7;4;2;1;2;1;false;697;
"undefined";"undefined";"undefined";"undefined";4;1;4;4;1;1;1;true;612;
"undefined";"undefined";"undefined";"undefined";2;5;4;0;1;3;1;false;3073;
"undefined";"undefined";"undefined";"undefined";4;4;4;1;1;2;1;false;1176;
"undefined";"undefined";"undefined";"undefined";2;3;4;2;1;8;1;false;1142;
"undefined";"undefined";"undefined";"undefined";4;8;4;3;1;5;1;false;1020;
"undefined";"undefined";"undefined";"undefined";4;9;4;4;1;6;1;false;681;
"undefined";"undefined";"undefined";"undefined";8;7;4;2;1;2;1;false;677;
"undefined";"undefined";"undefined";"undefined";6;5;4;0;1;1;1;true;964;
"undefined";"undefined";"undefined";"undefined";6;2;4;3;1;10;1;false;987;
"undefined";"undefined";"undefined";"undefined";4;7;4;2;1;7;1;false;1153;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;5;1;false;1216;
"undefined";"undefined";"undefined";"undefined";6;3;4;2;1;2;1;false;1000;
"undefined";"undefined";"undefined";"undefined";5;3;4;2;1;7;1;false;891;
"undefined";"undefined";"undefined";"undefined";2;9;4;4;1;9;1;false;888;
"undefined";"undefined";"undefined";"undefined";2;7;4;2;1;6;1;false;1329;
"undefined";"undefined";"undefined";"undefined";8;5;4;0;1;8;1;false;1052;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;1;1;1;true;680;
"undefined";"undefined";"undefined";"undefined";6;2;4;3;1;10;1;false;773;
"undefined";"undefined";"undefined";"undefined";5;2;4;3;1;10;1;false;996;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;1;3;1;false;769;
"undefined";"undefined";"undefined";"undefined";6;8;4;3;1;8;1;false;697;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;7;1;false;2049;
"undefined";"undefined";"undefined";"undefined";2;6;4;1;1;10;1;false;1122;
"undefined";"undefined";"undefined";"undefined";8;2;4;3;1;6;1;false;713;
"undefined";"undefined";"undefined";"undefined";4;3;4;2;1;8;1;false;1062;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;4;1;false;1058;
"undefined";"undefined";"undefined";"undefined";4;7;4;2;1;4;1;false;807;
"undefined";"undefined";"undefined";"undefined";5;4;4;1;1;6;1;false;758;
"undefined";"undefined";"undefined";"undefined";6;1;4;4;1;5;1;false;757;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;1;9;1;false;592;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;7;1;false;1697;
"undefined";"undefined";"undefined";"undefined";4;8;4;3;1;2;1;false;885;
"undefined";"undefined";"undefined";"undefined";2;5;4;0;1;4;1;false;1882;
"undefined";"undefined";"undefined";"undefined";8;3;4;2;1;6;1;false;883;
"undefined";"undefined";"undefined";"undefined";5;3;4;2;1;6;1;false;1314;
"undefined";"undefined";"undefined";"undefined";6;6;4;1;1;8;1;false;841;
"undefined";"undefined";"undefined";"undefined";5;2;4;3;1;2;1;false;918;
"undefined";"undefined";"undefined";"undefined";6;8;4;3;1;1;1;true;651;
"undefined";"undefined";"undefined";"undefined";8;6;4;1;1;2;1;false;626;
"undefined";"undefined";"undefined";"undefined";4;8;4;3;1;8;1;false;1173;
"undefined";"undefined";"undefined";"undefined";8;4;4;1;1;10;1;false;640;
"undefined";"undefined";"undefined";"undefined";6;5;4;0;1;10;1;false;784;
"undefined";"undefined";"undefined";"undefined";2;4;4;1;1;2;1;false;1493;
"undefined";"undefined";"undefined";"undefined";2;9;4;4;1;2;1;false;710;
"undefined";"undefined";"undefined";"undefined";6;7;4;2;1;4;1;false;717;
"undefined";"undefined";"undefined";"undefined";5;5;4;0;1;2;1;false;672;
"undefined";"undefined";"undefined";"undefined";6;5;4;0;1;10;1;false;742;
"undefined";"undefined";"undefined";"undefined";5;1;4;4;1;5;1;false;640;
"undefined";"undefined";"undefined";"undefined";8;8;4;3;1;6;1;false;628;
"undefined";"undefined";"undefined";"undefined";4;9;4;4;1;9;1;false;650;
"undefined";"undefined";"undefined";"undefined";8;8;4;3;1;8;1;false;617;
"undefined";"undefined";"undefined";"undefined";2;5;4;0;1;9;1;false;2339;
"undefined";"undefined";"undefined";"undefined";8;3;4;2;1;1;1;true;890;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;7;1;false;943;
"undefined";"undefined";"undefined";"undefined";8;6;4;1;1;9;1;false;717;
"undefined";"undefined";"undefined";"undefined";5;7;4;2;1;7;1;false;665;
"undefined";"undefined";"undefined";"undefined";5;5;4;0;1;5;1;false;716;
"undefined";"undefined";"undefined";"undefined";2;1;4;4;1;5;1;false;730;
"undefined";"undefined";"undefined";"undefined";2;4;4;1;1;2;1;false;1414;
"undefined";"undefined";"undefined";"undefined";6;6;4;1;1;3;1;false;671;
"undefined";"undefined";"undefined";"undefined";4;7;4;2;1;1;1;true;577;
"undefined";"undefined";"undefined";"undefined";8;8;4;3;1;3;1;false;674;
"undefined";"undefined";"undefined";"undefined";5;2;4;3;1;1;1;true;763;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;3;1;false;851;
"undefined";"undefined";"undefined";"undefined";2;9;4;4;1;4;1;false;736;
"undefined";"undefined";"undefined";"undefined";4;9;4;4;1;4;1;false;589;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;6;1;false;892;
"undefined";"undefined";"undefined";"undefined";5;7;4;2;1;10;1;false;669;
"undefined";"undefined";"undefined";"undefined";5;5;4;0;1;1;1;true;741;
"undefined";"undefined";"undefined";"undefined";6;4;4;1;1;6;1;false;588;
"undefined";"undefined";"undefined";"undefined";2;5;4;0;1;4;1;false;1711;
"undefined";"undefined";"undefined";"undefined";4;4;4;1;1;5;1;false;1238;
"undefined";"undefined";"undefined";"undefined";2;8;4;3;1;4;1;false;1169;
"undefined";"undefined";"undefined";"undefined";5;5;4;0;1;5;1;false;683;
"undefined";"undefined";"undefined";"undefined";2;7;4;2;1;3;1;false;1317;
"undefined";"undefined";"undefined";"undefined";8;6;4;1;1;6;1;false;579;
"undefined";"undefined";"undefined";"undefined";4;2;4;3;1;6;1;false;756;
"undefined";"undefined";"undefined";"undefined";6;5;4;0;1;7;1;false;762;
"undefined";"undefined";"undefined";"undefined";8;5;4;0;1;9;1;false;675;
"undefined";"undefined";"undefined";"undefined";4;1;4;4;1;9;1;false;754;
"undefined";"undefined";"undefined";"undefined";2;6;4;1;1;1;1;true;3244;
"undefined";"undefined";"undefined";"undefined";6;8;4;3;1;2;1;false;849;
"undefined";"undefined";"undefined";"undefined";8;5;4;0;1;1;1;true;698;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;10;1;false;982;
"undefined";"undefined";"undefined";"undefined";4;3;4;2;1;10;1;false;898;
"undefined";"undefined";"undefined";"undefined";5;8;4;3;1;7;1;false;776;
"undefined";"undefined";"undefined";"undefined";2;5;4;0;1;8;1;false;1877;
"undefined";"undefined";"undefined";"undefined";4;4;4;1;1;6;1;false;776;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;1;10;1;false;581;
"undefined";"undefined";"undefined";"undefined";4;6;4;1;1;8;1;false;909;
"undefined";"undefined";"undefined";"undefined";2;8;4;3;1;2;1;false;1426;
"undefined";"undefined";"undefined";"undefined";6;2;4;3;1;9;1;false;1041;
"undefined";"undefined";"undefined";"undefined";5;6;4;1;1;6;1;false;1163;
"undefined";"undefined";"undefined";"undefined";5;8;4;3;1;6;1;false;678;
"undefined";"undefined";"undefined";"undefined";8;2;4;3;1;4;1;false;736;
"undefined";"undefined";"undefined";"undefined";8;4;4;1;1;4;1;false;656;
"undefined";"undefined";"undefined";"undefined";2;1;4;4;1;5;1;false;847;
"undefined";"undefined";"undefined";"undefined";6;3;4;2;1;6;1;false;745;
"undefined";"undefined";"undefined";"undefined";5;1;4;4;1;6;1;false;727;
"undefined";"undefined";"undefined";"undefined";6;4;4;1;1;6;1;false;798;
"undefined";"undefined";"undefined";"undefined";6;7;4;2;1;1;1;true;627;
"undefined";"undefined";"undefined";"undefined";6;6;4;1;1;9;1;false;644;
"undefined";"undefined";"undefined";"undefined";6;1;4;4;1;2;1;false;770;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;3;1;false;1243;
"undefined";"undefined";"undefined";"undefined";4;3;4;2;1;4;1;false;1151;
"undefined";"undefined";"undefined";"undefined";6;1;4;4;1;9;1;false;844;
"undefined";"undefined";"undefined";"undefined";4;1;4;4;1;9;1;false;862;
"undefined";"undefined";"undefined";"undefined";5;8;4;3;1;9;1;false;686;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;1;2;1;false;546;
"undefined";"undefined";"undefined";"undefined";2;9;4;4;1;5;1;false;772;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;1;3;1;false;599;
"undefined";"undefined";"undefined";"undefined";5;4;4;1;1;7;1;false;685;
"undefined";"undefined";"undefined";"undefined";5;6;4;1;1;4;1;false;526;
"undefined";"undefined";"undefined";"undefined";8;2;4;3;1;3;1;false;570;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;1;10;1;false;526;
"undefined";"undefined";"undefined";"undefined";4;1;4;4;1;9;1;false;612;
"undefined";"undefined";"undefined";"undefined";6;8;4;3;1;3;1;false;734;
"undefined";"undefined";"undefined";"undefined";2;1;4;4;1;3;1;false;639;
"undefined";"undefined";"undefined";"undefined";4;2;4;3;1;2;1;false;760;
"undefined";"undefined";"undefined";"undefined";4;6;4;1;1;3;1;false;1477;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;1;7;1;false;597;
"undefined";"undefined";"undefined";"undefined";4;4;4;1;1;4;1;false;795;
"undefined";"undefined";"undefined";"undefined";4;3;4;2;1;5;1;false;933;
"undefined";"undefined";"undefined";"undefined";2;1;4;4;1;10;1;false;896;
"undefined";"undefined";"undefined";"undefined";8;4;4;1;1;5;1;false;590;
"undefined";"undefined";"undefined";"undefined";8;5;4;0;1;6;1;false;633;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;8;1;false;716;
