"Age";"Status";"Studies";"YearsOfExperience";Segment;Row;Density;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";4;2;40;1;3;1;false;519;
"undefined";"undefined";"undefined";"undefined";2;7;33;1;8;1;false;801;
"undefined";"undefined";"undefined";"undefined";0;4;37;1;5;1;false;565;
"undefined";"undefined";"undefined";"undefined";1;8;25;1;9;1;false;613;
"undefined";"undefined";"undefined";"undefined";0;3;48;1;4;1;false;588;
"undefined";"undefined";"undefined";"undefined";1;6;37;1;7;1;false;725;
"undefined";"undefined";"undefined";"undefined";0;7;32;1;8;1;false;809;
"undefined";"undefined";"undefined";"undefined";3;3;47;1;4;1;false;784;
"undefined";"undefined";"undefined";"undefined";0;7;33;1;8;1;false;590;
"undefined";"undefined";"undefined";"undefined";1;1;33;1;2;1;false;681;
"undefined";"undefined";"undefined";"undefined";1;1;33;1;2;1;false;692;
"undefined";"undefined";"undefined";"undefined";2;2;38;1;3;1;false;898;
"undefined";"undefined";"undefined";"undefined";3;6;40;1;7;1;false;832;
"undefined";"undefined";"undefined";"undefined";3;4;47;1;5;1;false;821;
"undefined";"undefined";"undefined";"undefined";2;0;26;1;1;1;true;570;
"undefined";"undefined";"undefined";"undefined";2;3;46;1;4;1;false;1106;
"undefined";"undefined";"undefined";"undefined";2;1;34;1;2;1;false;763;
"undefined";"undefined";"undefined";"undefined";4;6;38;1;7;1;false;628;
"undefined";"undefined";"undefined";"undefined";2;1;33;1;2;1;false;694;
"undefined";"undefined";"undefined";"undefined";1;2;41;1;3;1;false;659;
"undefined";"undefined";"undefined";"undefined";4;5;45;1;6;1;false;734;
"undefined";"undefined";"undefined";"undefined";3;7;32;1;8;1;false;626;
"undefined";"undefined";"undefined";"undefined";0;5;47;1;6;1;false;616;
"undefined";"undefined";"undefined";"undefined";2;1;33;1;2;1;false;828;
"undefined";"undefined";"undefined";"undefined";2;5;45;1;6;1;false;757;
"undefined";"undefined";"undefined";"undefined";0;5;47;1;6;1;false;906;
"undefined";"undefined";"undefined";"undefined";2;0;27;1;1;1;true;534;
"undefined";"undefined";"undefined";"undefined";2;6;40;1;7;1;false;806;
"undefined";"undefined";"undefined";"undefined";1;5;46;1;6;1;false;622;
"undefined";"undefined";"undefined";"undefined";1;4;46;1;5;1;false;723;
"undefined";"undefined";"undefined";"undefined";4;3;46;1;4;1;false;571;
"undefined";"undefined";"undefined";"undefined";2;8;24;1;9;1;false;641;
"undefined";"undefined";"undefined";"undefined";2;6;38;1;7;1;false;848;
"undefined";"undefined";"undefined";"undefined";3;3;45;1;4;1;false;1015;
"undefined";"undefined";"undefined";"undefined";1;5;46;1;6;1;false;697;
"undefined";"undefined";"undefined";"undefined";3;4;46;1;5;1;false;747;
"undefined";"undefined";"undefined";"undefined";2;3;46;1;4;1;false;685;
"undefined";"undefined";"undefined";"undefined";3;8;26;1;9;1;false;683;
"undefined";"undefined";"undefined";"undefined";0;5;36;1;6;1;false;559;
"undefined";"undefined";"undefined";"undefined";1;0;27;1;1;1;true;588;
"undefined";"undefined";"undefined";"undefined";0;3;24;1;4;1;false;643;
"undefined";"undefined";"undefined";"undefined";0;0;25;1;1;1;true;526;
"undefined";"undefined";"undefined";"undefined";1;2;40;1;3;1;false;743;
"undefined";"undefined";"undefined";"undefined";1;0;26;1;1;1;true;584;
"undefined";"undefined";"undefined";"undefined";2;1;34;1;2;1;false;715;
"undefined";"undefined";"undefined";"undefined";4;7;33;1;8;1;false;633;
"undefined";"undefined";"undefined";"undefined";0;1;33;1;2;1;false;535;
"undefined";"undefined";"undefined";"undefined";1;8;25;1;9;1;false;597;
"undefined";"undefined";"undefined";"undefined";4;1;34;1;2;1;false;556;
"undefined";"undefined";"undefined";"undefined";2;6;40;1;7;1;false;946;
"undefined";"undefined";"undefined";"undefined";3;8;24;1;9;1;false;707;
"undefined";"undefined";"undefined";"undefined";3;5;47;1;6;1;false;682;
"undefined";"undefined";"undefined";"undefined";3;2;41;1;3;1;false;707;
"undefined";"undefined";"undefined";"undefined";3;8;27;1;9;1;false;535;
"undefined";"undefined";"undefined";"undefined";2;0;27;1;1;1;true;517;
"undefined";"undefined";"undefined";"undefined";3;0;25;1;1;1;true;504;
"undefined";"undefined";"undefined";"undefined";3;3;48;1;4;1;false;719;
"undefined";"undefined";"undefined";"undefined";2;5;47;1;6;1;false;639;
"undefined";"undefined";"undefined";"undefined";3;0;24;1;1;1;true;541;
"undefined";"undefined";"undefined";"undefined";1;3;46;1;4;1;false;853;
"undefined";"undefined";"undefined";"undefined";2;3;45;1;4;1;false;963;
"undefined";"undefined";"undefined";"undefined";0;0;13;1;1;1;true;561;
"undefined";"undefined";"undefined";"undefined";4;4;32;1;5;1;false;640;
"undefined";"undefined";"undefined";"undefined";3;7;32;1;8;1;false;578;
"undefined";"undefined";"undefined";"undefined";2;1;33;1;2;1;false;678;
"undefined";"undefined";"undefined";"undefined";0;0;26;1;1;1;true;514;
"undefined";"undefined";"undefined";"undefined";3;6;37;1;7;1;false;821;
"undefined";"undefined";"undefined";"undefined";3;6;40;1;7;1;false;570;
"undefined";"undefined";"undefined";"undefined";0;2;21;1;3;1;false;514;
"undefined";"undefined";"undefined";"undefined";2;8;24;1;9;1;false;592;
"undefined";"undefined";"undefined";"undefined";0;1;32;1;2;1;false;611;
"undefined";"undefined";"undefined";"undefined";1;2;37;1;3;1;false;882;
"undefined";"undefined";"undefined";"undefined";1;2;39;1;3;1;false;635;
"undefined";"undefined";"undefined";"undefined";1;5;46;1;6;1;false;941;
"undefined";"undefined";"undefined";"undefined";0;2;39;1;3;1;false;603;
"undefined";"undefined";"undefined";"undefined";2;4;45;1;5;1;false;936;
"undefined";"undefined";"undefined";"undefined";4;4;46;1;5;1;false;610;
"undefined";"undefined";"undefined";"undefined";3;8;26;1;9;1;false;632;
"undefined";"undefined";"undefined";"undefined";4;0;27;1;1;1;true;568;
"undefined";"undefined";"undefined";"undefined";1;3;47;1;4;1;false;950;
"undefined";"undefined";"undefined";"undefined";3;3;46;1;4;1;false;716;
"undefined";"undefined";"undefined";"undefined";2;8;27;1;9;1;false;774;
"undefined";"undefined";"undefined";"undefined";0;5;47;1;6;1;false;706;
"undefined";"undefined";"undefined";"undefined";3;5;47;1;6;1;false;723;
"undefined";"undefined";"undefined";"undefined";4;0;26;1;1;1;true;526;
"undefined";"undefined";"undefined";"undefined";3;6;41;1;7;1;false;747;
"undefined";"undefined";"undefined";"undefined";4;8;26;1;9;1;false;586;
"undefined";"undefined";"undefined";"undefined";1;4;47;1;5;1;false;886;
"undefined";"undefined";"undefined";"undefined";2;2;40;1;3;1;false;978;
"undefined";"undefined";"undefined";"undefined";4;5;46;1;6;1;false;782;
"undefined";"undefined";"undefined";"undefined";1;7;33;1;8;1;false;967;
"undefined";"undefined";"undefined";"undefined";2;2;40;1;3;1;false;891;
"undefined";"undefined";"undefined";"undefined";2;4;45;1;5;1;false;881;
"undefined";"undefined";"undefined";"undefined";2;2;40;1;3;1;false;915;
"undefined";"undefined";"undefined";"undefined";3;8;27;1;9;1;false;591;
"undefined";"undefined";"undefined";"undefined";0;5;48;1;6;1;false;679;
"undefined";"undefined";"undefined";"undefined";2;7;31;1;8;1;false;847;
"undefined";"undefined";"undefined";"undefined";4;8;26;1;9;1;false;520;
"undefined";"undefined";"undefined";"undefined";2;0;27;1;1;1;true;565;
"undefined";"undefined";"undefined";"undefined";0;8;18;1;9;1;false;508;
"undefined";"undefined";"undefined";"undefined";0;2;37;1;3;1;false;634;
"undefined";"undefined";"undefined";"undefined";4;2;40;1;3;1;false;562;
"undefined";"undefined";"undefined";"undefined";1;4;47;1;5;1;false;730;
"undefined";"undefined";"undefined";"undefined";4;1;34;1;2;1;false;532;
"undefined";"undefined";"undefined";"undefined";1;7;31;1;8;1;false;821;
"undefined";"undefined";"undefined";"undefined";2;4;46;1;5;1;false;830;
"undefined";"undefined";"undefined";"undefined";4;0;25;1;1;1;true;530;
"undefined";"undefined";"undefined";"undefined";0;1;33;1;2;1;false;738;
"undefined";"undefined";"undefined";"undefined";4;6;38;1;7;1;false;702;
"undefined";"undefined";"undefined";"undefined";0;4;47;1;5;1;false;737;
"undefined";"undefined";"undefined";"undefined";2;7;33;1;8;1;false;728;
"undefined";"undefined";"undefined";"undefined";1;5;45;1;6;1;false;849;
"undefined";"undefined";"undefined";"undefined";4;1;34;1;2;1;false;638;
"undefined";"undefined";"undefined";"undefined";0;7;33;1;8;1;false;634;
"undefined";"undefined";"undefined";"undefined";1;7;33;1;8;1;false;861;
"undefined";"undefined";"undefined";"undefined";3;3;47;1;4;1;false;697;
"undefined";"undefined";"undefined";"undefined";1;7;32;1;8;1;false;618;
"undefined";"undefined";"undefined";"undefined";3;1;32;1;2;1;false;624;
"undefined";"undefined";"undefined";"undefined";0;2;39;1;3;1;false;626;
"undefined";"undefined";"undefined";"undefined";0;0;25;1;1;1;true;614;
"undefined";"undefined";"undefined";"undefined";2;2;39;1;3;1;false;1032;
"undefined";"undefined";"undefined";"undefined";4;4;47;1;5;1;false;579;
"undefined";"undefined";"undefined";"undefined";0;2;38;1;3;1;false;667;
"undefined";"undefined";"undefined";"undefined";0;6;39;1;7;1;false;523;
"undefined";"undefined";"undefined";"undefined";1;0;26;1;1;1;true;571;
"undefined";"undefined";"undefined";"undefined";2;3;45;1;4;1;false;680;
"undefined";"undefined";"undefined";"undefined";4;2;40;1;3;1;false;643;
"undefined";"undefined";"undefined";"undefined";3;1;34;1;2;1;false;673;
"undefined";"undefined";"undefined";"undefined";1;1;34;1;2;1;false;846;
"undefined";"undefined";"undefined";"undefined";3;4;45;1;5;1;false;680;
"undefined";"undefined";"undefined";"undefined";4;2;41;1;3;1;false;615;
"undefined";"undefined";"undefined";"undefined";0;0;25;1;1;1;true;634;
"undefined";"undefined";"undefined";"undefined";0;3;45;1;4;1;false;607;
"undefined";"undefined";"undefined";"undefined";0;6;39;1;7;1;false;939;
"undefined";"undefined";"undefined";"undefined";2;3;46;1;4;1;false;721;
"undefined";"undefined";"undefined";"undefined";0;6;37;1;7;1;false;646;
"undefined";"undefined";"undefined";"undefined";3;0;24;1;1;1;true;607;
"undefined";"undefined";"undefined";"undefined";4;3;32;1;4;1;false;568;
"undefined";"undefined";"undefined";"undefined";4;8;24;1;9;1;false;665;
"undefined";"undefined";"undefined";"undefined";2;5;43;1;6;1;false;720;
"undefined";"undefined";"undefined";"undefined";3;7;32;1;8;1;false;600;
