"Age";"Status";"Studies";"YearsOfExperience";Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";1;4;1;7;1;false;310;
"undefined";"undefined";"undefined";"undefined";7;2;1;2;1;false;319;
"undefined";"undefined";"undefined";"undefined";9;4;1;3;1;false;325;
"undefined";"undefined";"undefined";"undefined";5;0;1;1;1;true;307;
"undefined";"undefined";"undefined";"undefined";2;3;1;3;1;false;285;
"undefined";"undefined";"undefined";"undefined";3;2;1;10;1;false;336;
"undefined";"undefined";"undefined";"undefined";6;1;1;5;1;false;348;
"undefined";"undefined";"undefined";"undefined";1;4;1;4;1;false;340;
"undefined";"undefined";"undefined";"undefined";7;2;1;3;1;false;333;
"undefined";"undefined";"undefined";"undefined";2;3;1;8;1;false;296;
"undefined";"undefined";"undefined";"undefined";6;1;1;3;1;false;307;
"undefined";"undefined";"undefined";"undefined";3;2;1;2;1;false;326;
"undefined";"undefined";"undefined";"undefined";6;1;1;3;1;false;325;
"undefined";"undefined";"undefined";"undefined";9;4;1;6;1;false;346;
"undefined";"undefined";"undefined";"undefined";8;3;1;4;1;false;289;
"undefined";"undefined";"undefined";"undefined";4;1;1;2;1;false;286;
"undefined";"undefined";"undefined";"undefined";9;4;1;9;1;false;305;
"undefined";"undefined";"undefined";"undefined";7;2;1;2;1;false;323;
"undefined";"undefined";"undefined";"undefined";8;3;1;6;1;false;297;
"undefined";"undefined";"undefined";"undefined";5;0;1;9;1;false;300;
"undefined";"undefined";"undefined";"undefined";1;4;1;5;1;false;336;
"undefined";"undefined";"undefined";"undefined";1;4;1;6;1;false;298;
"undefined";"undefined";"undefined";"undefined";8;3;1;1;1;true;305;
"undefined";"undefined";"undefined";"undefined";7;2;1;4;1;false;322;
"undefined";"undefined";"undefined";"undefined";3;2;1;3;1;false;362;
"undefined";"undefined";"undefined";"undefined";6;1;1;9;1;false;307;
"undefined";"undefined";"undefined";"undefined";3;2;1;6;1;false;349;
"undefined";"undefined";"undefined";"undefined";7;2;1;7;1;false;330;
"undefined";"undefined";"undefined";"undefined";5;0;1;10;1;false;293;
"undefined";"undefined";"undefined";"undefined";5;0;1;3;1;false;308;
"undefined";"undefined";"undefined";"undefined";1;4;1;3;1;false;307;
"undefined";"undefined";"undefined";"undefined";8;3;1;2;1;false;294;
"undefined";"undefined";"undefined";"undefined";6;1;1;7;1;false;320;
"undefined";"undefined";"undefined";"undefined";6;1;1;5;1;false;295;
"undefined";"undefined";"undefined";"undefined";8;3;1;1;1;true;289;
"undefined";"undefined";"undefined";"undefined";5;0;1;10;1;false;285;
"undefined";"undefined";"undefined";"undefined";4;1;1;1;1;true;312;
"undefined";"undefined";"undefined";"undefined";8;3;1;6;1;false;270;
"undefined";"undefined";"undefined";"undefined";3;2;1;5;1;false;293;
"undefined";"undefined";"undefined";"undefined";8;3;1;1;1;true;330;
"undefined";"undefined";"undefined";"undefined";4;1;1;5;1;false;290;
"undefined";"undefined";"undefined";"undefined";9;4;1;3;1;false;271;
"undefined";"undefined";"undefined";"undefined";9;4;1;5;1;false;340;
"undefined";"undefined";"undefined";"undefined";5;0;1;3;1;false;293;
"undefined";"undefined";"undefined";"undefined";9;4;1;2;1;false;324;
"undefined";"undefined";"undefined";"undefined";8;3;1;10;1;false;325;
"undefined";"undefined";"undefined";"undefined";6;1;1;8;1;false;377;
"undefined";"undefined";"undefined";"undefined";5;0;1;9;1;false;380;
"undefined";"undefined";"undefined";"undefined";7;2;1;6;1;false;318;
"undefined";"undefined";"undefined";"undefined";7;2;1;4;1;false;317;
"undefined";"undefined";"undefined";"undefined";7;2;1;1;1;true;346;
"undefined";"undefined";"undefined";"undefined";8;3;1;1;1;true;345;
"undefined";"undefined";"undefined";"undefined";3;2;1;6;1;false;316;
"undefined";"undefined";"undefined";"undefined";9;4;1;6;1;false;311;
"undefined";"undefined";"undefined";"undefined";2;3;1;4;1;false;342;
"undefined";"undefined";"undefined";"undefined";2;3;1;10;1;false;328;
"undefined";"undefined";"undefined";"undefined";4;1;1;10;1;false;362;
"undefined";"undefined";"undefined";"undefined";2;3;1;7;1;false;340;
"undefined";"undefined";"undefined";"undefined";1;4;1;7;1;false;439;
"undefined";"undefined";"undefined";"undefined";4;1;1;5;1;false;338;
"undefined";"undefined";"undefined";"undefined";3;2;1;9;1;false;342;
"undefined";"undefined";"undefined";"undefined";7;2;1;1;1;true;374;
"undefined";"undefined";"undefined";"undefined";2;3;1;3;1;false;392;
"undefined";"undefined";"undefined";"undefined";3;2;1;8;1;false;360;
"undefined";"undefined";"undefined";"undefined";4;1;1;1;1;true;343;
"undefined";"undefined";"undefined";"undefined";2;3;1;7;1;false;355;
"undefined";"undefined";"undefined";"undefined";5;0;1;8;1;false;324;
"undefined";"undefined";"undefined";"undefined";4;1;1;10;1;false;295;
"undefined";"undefined";"undefined";"undefined";2;3;1;3;1;false;332;
"undefined";"undefined";"undefined";"undefined";3;2;1;3;1;false;327;
"undefined";"undefined";"undefined";"undefined";5;0;1;2;1;false;303;
"undefined";"undefined";"undefined";"undefined";4;1;1;4;1;false;380;
"undefined";"undefined";"undefined";"undefined";4;1;1;7;1;false;296;
"undefined";"undefined";"undefined";"undefined";8;3;1;6;1;false;337;
"undefined";"undefined";"undefined";"undefined";1;4;1;6;1;false;385;
"undefined";"undefined";"undefined";"undefined";6;1;1;2;1;false;359;
"undefined";"undefined";"undefined";"undefined";7;2;1;10;1;false;297;
"undefined";"undefined";"undefined";"undefined";4;1;1;5;1;false;312;
"undefined";"undefined";"undefined";"undefined";9;4;1;9;1;false;310;
"undefined";"undefined";"undefined";"undefined";5;0;1;8;1;false;313;
"undefined";"undefined";"undefined";"undefined";1;4;1;6;1;false;331;
"undefined";"undefined";"undefined";"undefined";4;1;1;5;1;false;336;
"undefined";"undefined";"undefined";"undefined";7;2;1;4;1;false;320;
"undefined";"undefined";"undefined";"undefined";9;4;1;1;1;true;307;
"undefined";"undefined";"undefined";"undefined";6;1;1;5;1;false;319;
"undefined";"undefined";"undefined";"undefined";1;4;1;6;1;false;337;
"undefined";"undefined";"undefined";"undefined";1;4;1;7;1;false;373;
"undefined";"undefined";"undefined";"undefined";5;0;1;4;1;false;318;
"undefined";"undefined";"undefined";"undefined";1;4;1;4;1;false;358;
"undefined";"undefined";"undefined";"undefined";6;1;1;4;1;false;380;
"undefined";"undefined";"undefined";"undefined";2;3;1;5;1;false;330;
"undefined";"undefined";"undefined";"undefined";7;2;1;3;1;false;311;
"undefined";"undefined";"undefined";"undefined";1;4;1;3;1;false;346;
"undefined";"undefined";"undefined";"undefined";2;3;1;4;1;false;544;
"undefined";"undefined";"undefined";"undefined";6;1;1;3;1;false;316;
"undefined";"undefined";"undefined";"undefined";9;4;1;9;1;false;241;
"undefined";"undefined";"undefined";"undefined";8;3;1;1;1;true;328;
"undefined";"undefined";"undefined";"undefined";8;3;1;4;1;false;330;
"undefined";"undefined";"undefined";"undefined";3;2;1;4;1;false;330;
"undefined";"undefined";"undefined";"undefined";7;2;1;10;1;false;375;
"undefined";"undefined";"undefined";"undefined";5;0;1;6;1;false;20545;
"undefined";"undefined";"undefined";"undefined";6;1;1;3;1;false;407;
"undefined";"undefined";"undefined";"undefined";6;1;1;6;1;false;291;
"undefined";"undefined";"undefined";"undefined";6;1;1;9;1;false;306;
