Age;Status;Studies;YearsOfExperience;Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;6;2;0;100;1;1;1;1;TRUE;1150
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;2;2;65;95;1;1;6;6;TRUE;1875
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;3;1;65;95;1;1;7;7;TRUE;1642
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;4;0;65;95;1;1;2;2;TRUE;1582
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;6;2;65;95;1;1;6;6;TRUE;1281
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;3;1;0;100;1;1;2;2;TRUE;1505
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;6;2;65;95;1;1;4;4;TRUE;1558
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;2;2;65;95;1;1;5;5;TRUE;1517
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;4;0;0;100;1;1;6;6;TRUE;1240
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;4;0;0;100;1;1;3;3;TRUE;1435
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;5;1;0;100;1;1;2;2;TRUE;1275
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;4;0;0;100;1;1;6;6;TRUE;1479
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;3;1;65;95;1;1;4;4;TRUE;1157
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;2;2;65;95;1;1;4;4;TRUE;1643
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;6;2;0;100;1;1;1;1;TRUE;1264
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;4;0;65;95;1;1;5;5;TRUE;1445
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;4;0;65;95;1;1;1;1;TRUE;1242
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;5;1;0;100;1;1;1;1;TRUE;1598
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;2;2;0;100;1;1;7;7;TRUE;1293
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;5;1;65;95;1;1;6;6;TRUE;1127
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;2;2;0;100;1;1;6;6;TRUE;1857
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;6;2;0;100;1;1;7;7;TRUE;1338
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;6;2;0;100;1;1;3;3;TRUE;1544
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;5;1;65;95;1;1;2;2;TRUE;1247
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;5;1;65;95;1;1;3;3;TRUE;1285
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;3;1;0;100;1;1;3;3;TRUE;1272
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;5;1;65;95;1;1;4;4;TRUE;1120
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;3;1;65;95;1;1;4;4;TRUE;1246
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;3;1;65;95;1;1;5;5;TRUE;1870
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;4;0;0;100;1;1;4;4;TRUE;1420
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;3;1;65;95;1;1;3;3;TRUE;1149
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;5;1;0;100;1;1;2;2;TRUE;1271
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;6;2;0;100;1;1;6;6;TRUE;1162
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;3;1;0;100;1;1;3;3;TRUE;1251
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;4;0;0;100;1;1;2;2;TRUE;1006
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;2;2;0;100;1;1;2;2;TRUE;967
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;5;1;0;100;1;1;7;7;TRUE;1242
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;4;0;0;100;1;1;4;4;TRUE;1207
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;2;2;65;95;1;1;4;4;TRUE;1555
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;5;1;65;95;1;1;5;5;TRUE;1492
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;3;1;65;95;1;1;2;2;TRUE;1231
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;4;0;65;95;1;1;5;5;TRUE;1388
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;2;2;0;100;1;1;5;5;TRUE;1210
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;3;1;0;100;1;1;2;2;TRUE;1247
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;3;1;0;100;1;1;6;6;TRUE;1103
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;3;1;0;100;1;1;6;6;TRUE;1394
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;5;1;65;95;1;1;7;7;TRUE;1231
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;2;2;0;100;1;1;1;1;TRUE;1323
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;5;1;65;95;1;1;2;2;TRUE;1587
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;5;1;65;95;1;1;4;4;TRUE;1151
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;4;0;0;100;1;1;4;4;TRUE;1224
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;5;1;0;100;1;1;6;6;TRUE;3805
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;3;1;0;100;1;1;5;5;TRUE;1284
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;6;2;0;100;1;1;3;3;TRUE;1601
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;6;2;65;95;1;1;4;4;TRUE;1224
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;3;1;0;100;1;1;6;6;TRUE;1418
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;2;2;0;100;1;1;7;7;TRUE;1523
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;6;2;65;95;1;1;1;1;TRUE;1313
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;2;2;0;100;1;1;7;7;TRUE;1132
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;5;1;65;95;1;1;1;1;TRUE;1225
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;2;2;0;100;1;1;3;3;TRUE;1261
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;4;0;65;95;1;1;4;4;TRUE;1217
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;4;0;65;95;1;1;6;6;TRUE;1677
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;3;1;0;100;1;1;7;7;TRUE;1181
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;4;0;65;95;0;1;4;3;FALSE;1161
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;6;2;65;95;1;1;1;1;TRUE;1233
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;6;2;0;100;1;1;1;1;TRUE;1017
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;3;1;65;95;1;1;4;4;TRUE;1429
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;5;1;65;95;1;1;7;7;TRUE;1585
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;3;1;65;95;1;1;6;6;TRUE;1629
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;3;1;65;95;1;1;4;4;TRUE;1342
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;4;0;65;95;1;1;3;3;TRUE;1064
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;6;2;65;95;1;1;1;1;TRUE;1105
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;5;1;65;95;1;1;2;2;TRUE;1002
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;5;1;65;95;1;1;7;7;TRUE;1340
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;3;1;65;95;1;1;3;3;TRUE;1272
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;2;2;0;100;1;1;7;7;TRUE;1255
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;2;2;65;95;1;1;7;7;TRUE;1516
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;2;2;65;95;1;1;5;5;TRUE;1814
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;2;2;0;100;1;1;5;5;TRUE;1321
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;2;2;0;100;1;1;4;4;TRUE;1192
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;2;2;65;95;1;1;5;5;TRUE;1248
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;3;1;65;95;1;1;7;7;TRUE;1575
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;2;2;65;95;1;1;4;4;TRUE;1568
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;4;0;0;100;1;1;6;6;TRUE;1374
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;2;2;65;95;1;1;7;7;TRUE;1332
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;4;0;0;100;1;1;3;3;TRUE;1333
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;6;2;65;95;1;1;3;3;TRUE;1536
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;2;2;65;95;1;1;3;3;TRUE;1110
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;2;2;65;95;1;1;3;3;TRUE;1105
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;6;2;65;95;1;1;4;4;TRUE;1122
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;6;2;65;95;0;1;2;3;FALSE;1136
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;6;2;65;95;1;1;4;4;TRUE;1079
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;2;2;65;95;1;1;5;5;TRUE;1050
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;5;1;0;100;1;1;6;6;TRUE;1327
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;4;0;0;100;1;1;7;7;TRUE;1086
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;5;1;0;100;1;1;5;5;TRUE;1095
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;2;2;0;100;1;1;5;5;TRUE;1290
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;5;1;65;95;1;1;7;7;TRUE;1153
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;2;2;0;100;1;1;4;4;TRUE;1537
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;2;2;65;95;1;1;4;4;TRUE;1141
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;3;1;0;100;1;1;5;5;TRUE;1253
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;3;1;0;100;1;1;4;4;TRUE;2139
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;3;1;65;95;1;1;3;3;TRUE;1353
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;2;2;0;100;1;1;1;1;TRUE;1280
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;6;2;0;100;1;1;2;2;TRUE;1202
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;5;1;0;100;1;1;1;1;TRUE;1121
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;4;0;0;100;1;1;6;6;TRUE;1266
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;6;2;65;95;1;1;2;2;TRUE;1184
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;5;1;0;100;1;1;6;6;TRUE;1207
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;4;0;65;95;1;1;2;2;TRUE;1146
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;5;1;65;95;1;1;5;5;TRUE;1450
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;5;1;0;100;1;1;1;1;TRUE;1316
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;6;2;65;95;1;1;5;5;TRUE;1392
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;4;0;65;95;1;1;2;2;TRUE;1234
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;3;1;0;100;1;1;7;7;TRUE;1414
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;5;1;0;100;1;1;5;5;TRUE;1143
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;2;2;65;95;1;1;2;2;TRUE;1178
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;6;2;0;100;1;1;2;2;TRUE;1099
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;6;2;0;100;1;1;7;7;TRUE;1252
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;2;2;65;95;1;1;4;4;TRUE;1471
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;3;1;65;95;1;1;4;4;TRUE;2021
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;6;2;65;95;1;1;2;2;TRUE;1569
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;5;1;65;95;1;1;3;3;TRUE;1604
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;4;0;0;100;1;1;6;6;TRUE;1277
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;5;1;0;100;1;1;7;7;TRUE;1291
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;3;1;65;95;1;1;1;1;TRUE;1413
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;4;0;65;95;1;1;3;3;TRUE;1790
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;4;0;65;95;1;1;1;1;TRUE;1286
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;5;1;65;95;1;1;3;3;TRUE;1185
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;6;2;65;95;1;1;5;5;TRUE;1105
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;3;1;0;100;1;1;7;7;TRUE;1092
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;3;1;65;95;1;1;6;6;TRUE;1761
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;4;0;0;100;1;1;3;3;TRUE;1664
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;3;1;0;100;1;1;5;5;TRUE;1003
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;4;0;0;100;1;1;6;6;TRUE;1040
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;5;1;0;100;1;1;4;4;TRUE;1051
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;3;1;65;95;1;1;1;1;TRUE;1756
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;6;2;0;100;1;1;6;6;TRUE;1101
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;2;2;0;100;1;1;6;6;TRUE;1088
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;2;2;65;95;1;1;5;5;TRUE;1100
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;4;0;0;100;1;1;6;6;TRUE;1247
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;6;2;0;100;1;1;1;1;TRUE;1099
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;5;1;65;95;1;1;2;2;TRUE;1323
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;2;2;65;95;1;1;3;3;TRUE;1302
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;2;2;65;95;1;1;1;1;TRUE;1165
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;6;2;65;95;1;1;7;7;TRUE;1242
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;4;0;65;95;1;1;1;1;TRUE;1181
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;2;2;0;100;1;1;2;2;TRUE;1176
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;5;1;0;100;1;1;1;1;TRUE;1044
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;3;1;65;95;1;1;1;1;TRUE;947
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;6;2;65;95;1;1;4;4;TRUE;1349
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;5;1;0;100;1;1;7;7;TRUE;1291
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;4;0;0;100;1;1;1;1;TRUE;1323
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;4;0;0;100;1;1;1;1;TRUE;979
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;3;1;65;95;1;1;3;3;TRUE;1636
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;6;2;65;95;1;1;1;1;TRUE;1456
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;5;1;65;95;1;1;5;5;TRUE;1574
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;6;2;65;95;1;1;1;1;TRUE;1025
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;2;2;65;95;1;1;7;7;TRUE;1618
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;2;2;0;100;1;1;5;5;TRUE;1147
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;6;2;65;95;1;1;4;4;TRUE;1336
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;5;1;65;95;1;1;5;5;TRUE;1087
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;3;1;0;100;1;1;2;2;TRUE;1083
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;4;0;0;100;1;1;7;7;TRUE;1157
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;5;1;65;95;1;1;5;5;TRUE;1569
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;3;1;0;100;1;1;2;2;TRUE;1455
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;5;1;65;95;1;1;3;3;TRUE;1197
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;5;1;0;100;1;1;5;5;TRUE;1207
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;6;2;65;95;1;1;3;3;TRUE;1217
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;6;2;0;100;1;1;5;5;TRUE;1096
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;2;2;0;100;1;1;5;5;TRUE;1370
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;3;1;0;100;1;1;7;7;TRUE;1175
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;3;1;0;100;1;1;6;6;TRUE;1663
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;2;2;65;95;1;1;2;2;TRUE;1109
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;2;2;65;95;1;1;1;1;TRUE;1247
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;6;2;0;100;1;1;7;7;TRUE;1179
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;5;1;65;95;1;1;5;5;TRUE;1330
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;2;2;0;100;1;1;2;2;TRUE;1153
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;4;0;65;95;1;1;3;3;TRUE;1065
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;6;2;0;100;1;1;5;5;TRUE;1150
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;4;0;65;95;1;1;1;1;TRUE;1134
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;3;1;0;100;1;1;4;4;TRUE;1098
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;4;0;0;100;1;1;2;2;TRUE;890
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;2;2;0;100;1;1;7;7;TRUE;1112
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;6;2;0;100;1;1;7;7;TRUE;1111
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;6;2;0;100;1;1;3;3;TRUE;1076
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;6;2;0;100;1;1;2;2;TRUE;1071
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;5;1;0;100;1;1;4;4;TRUE;1227
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;6;2;0;100;1;1;7;7;TRUE;1141
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;4;0;0;100;1;1;2;2;TRUE;1180
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;4;0;0;100;1;1;7;7;TRUE;1047
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;5;1;0;100;1;1;3;3;TRUE;978
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;6;2;65;95;1;1;6;6;TRUE;1547
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;6;2;0;100;1;1;3;3;TRUE;1217
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;4;0;0;100;1;1;6;6;TRUE;1309
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;3;1;65;95;1;1;6;6;TRUE;1165
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;4;0;0;100;1;1;5;5;TRUE;1220
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;2;2;65;95;1;1;1;1;TRUE;980
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;4;0;65;95;1;1;6;6;TRUE;1510
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;6;2;65;95;1;1;5;5;TRUE;1346
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;3;1;65;95;1;1;6;6;TRUE;1568
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;2;2;0;100;1;1;3;3;TRUE;1396
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;5;1;65;95;1;1;5;5;TRUE;1449
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;5;1;65;95;1;1;5;5;TRUE;1485
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;5;1;65;95;1;1;3;3;TRUE;1736
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;3;1;0;100;1;1;4;4;TRUE;1336
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;3;1;65;95;1;1;4;4;TRUE;1174
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;2;2;0;100;1;1;2;2;TRUE;1156
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;4;0;65;95;1;1;7;7;TRUE;1699
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;5;1;65;95;1;1;1;1;TRUE;1193
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;2;2;65;95;1;1;7;7;TRUE;1237
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;2;2;65;95;1;1;7;7;TRUE;1129
