"Age";"Status";"Studies";"YearsOfExperience";Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";5;0;1;3;1;false;342;
"undefined";"undefined";"undefined";"undefined";4;1;1;10;1;false;342;
"undefined";"undefined";"undefined";"undefined";7;2;1;7;1;false;357;
"undefined";"undefined";"undefined";"undefined";2;3;1;4;1;false;366;
"undefined";"undefined";"undefined";"undefined";2;3;1;10;1;false;372;
"undefined";"undefined";"undefined";"undefined";5;0;1;7;1;false;344;
"undefined";"undefined";"undefined";"undefined";4;1;1;6;1;false;344;
"undefined";"undefined";"undefined";"undefined";2;3;1;5;1;false;358;
"undefined";"undefined";"undefined";"undefined";9;4;1;7;1;false;359;
"undefined";"undefined";"undefined";"undefined";9;4;1;8;1;false;345;
"undefined";"undefined";"undefined";"undefined";8;3;1;8;1;false;378;
"undefined";"undefined";"undefined";"undefined";3;2;1;1;1;true;397;
"undefined";"undefined";"undefined";"undefined";6;1;1;1;1;true;345;
"undefined";"undefined";"undefined";"undefined";8;3;1;3;1;false;326;
"undefined";"undefined";"undefined";"undefined";8;3;1;4;1;false;333;
"undefined";"undefined";"undefined";"undefined";9;4;1;7;1;false;324;
"undefined";"undefined";"undefined";"undefined";3;2;1;6;1;false;356;
"undefined";"undefined";"undefined";"undefined";6;1;1;1;1;true;325;
"undefined";"undefined";"undefined";"undefined";1;4;1;1;1;true;349;
"undefined";"undefined";"undefined";"undefined";6;1;1;4;1;false;263;
"undefined";"undefined";"undefined";"undefined";1;4;1;2;1;false;305;
"undefined";"undefined";"undefined";"undefined";3;2;1;7;1;false;275;
"undefined";"undefined";"undefined";"undefined";6;1;1;1;1;true;312;
"undefined";"undefined";"undefined";"undefined";9;4;1;5;1;false;333;
"undefined";"undefined";"undefined";"undefined";3;2;1;5;1;false;409;
"undefined";"undefined";"undefined";"undefined";4;1;1;6;1;false;312;
"undefined";"undefined";"undefined";"undefined";2;3;1;1;1;true;307;
"undefined";"undefined";"undefined";"undefined";9;4;1;2;1;false;277;
"undefined";"undefined";"undefined";"undefined";3;2;1;9;1;false;298;
"undefined";"undefined";"undefined";"undefined";9;4;1;6;1;false;316;
"undefined";"undefined";"undefined";"undefined";5;0;1;8;1;false;330;
"undefined";"undefined";"undefined";"undefined";6;1;1;4;1;false;352;
"undefined";"undefined";"undefined";"undefined";1;4;1;6;1;false;365;
"undefined";"undefined";"undefined";"undefined";2;3;1;2;1;false;309;
"undefined";"undefined";"undefined";"undefined";4;1;1;3;1;false;356;
"undefined";"undefined";"undefined";"undefined";7;2;1;7;1;false;372;
"undefined";"undefined";"undefined";"undefined";1;4;1;3;1;false;355;
"undefined";"undefined";"undefined";"undefined";7;2;1;10;1;false;298;
"undefined";"undefined";"undefined";"undefined";5;0;1;5;1;false;326;
"undefined";"undefined";"undefined";"undefined";2;3;1;9;1;false;320;
"undefined";"undefined";"undefined";"undefined";1;4;1;8;1;false;341;
"undefined";"undefined";"undefined";"undefined";5;0;1;4;1;false;375;
"undefined";"undefined";"undefined";"undefined";5;0;1;7;1;false;310;
"undefined";"undefined";"undefined";"undefined";7;2;1;6;1;false;347;
"undefined";"undefined";"undefined";"undefined";6;1;1;7;1;false;353;
"undefined";"undefined";"undefined";"undefined";2;3;1;2;1;false;362;
"undefined";"undefined";"undefined";"undefined";9;4;1;2;1;false;309;
"undefined";"undefined";"undefined";"undefined";3;2;1;3;1;false;366;
"undefined";"undefined";"undefined";"undefined";8;3;1;9;1;false;324;
"undefined";"undefined";"undefined";"undefined";1;4;1;8;1;false;346;
"undefined";"undefined";"undefined";"undefined";3;2;1;10;1;false;359;
"undefined";"undefined";"undefined";"undefined";9;4;1;4;1;false;340;
"undefined";"undefined";"undefined";"undefined";4;1;1;9;1;false;332;
"undefined";"undefined";"undefined";"undefined";7;2;1;2;1;false;326;
"undefined";"undefined";"undefined";"undefined";3;2;1;9;1;false;324;
"undefined";"undefined";"undefined";"undefined";2;3;1;8;1;false;314;
"undefined";"undefined";"undefined";"undefined";9;4;1;3;1;false;333;
"undefined";"undefined";"undefined";"undefined";4;1;1;8;1;false;332;
"undefined";"undefined";"undefined";"undefined";3;2;1;2;1;false;361;
"undefined";"undefined";"undefined";"undefined";2;3;1;5;1;false;352;
"undefined";"undefined";"undefined";"undefined";7;2;1;4;1;false;360;
"undefined";"undefined";"undefined";"undefined";4;1;1;1;1;true;319;
"undefined";"undefined";"undefined";"undefined";6;1;1;4;1;false;341;
"undefined";"undefined";"undefined";"undefined";8;3;1;1;1;true;301;
"undefined";"undefined";"undefined";"undefined";1;4;1;6;1;false;373;
"undefined";"undefined";"undefined";"undefined";8;3;1;10;1;false;343;
"undefined";"undefined";"undefined";"undefined";9;4;1;7;1;false;306;
"undefined";"undefined";"undefined";"undefined";9;4;1;10;1;false;321;
"undefined";"undefined";"undefined";"undefined";5;0;1;5;1;false;315;
"undefined";"undefined";"undefined";"undefined";4;1;1;5;1;false;316;
"undefined";"undefined";"undefined";"undefined";1;4;1;8;1;false;340;
"undefined";"undefined";"undefined";"undefined";4;1;1;2;1;false;334;
"undefined";"undefined";"undefined";"undefined";9;4;1;8;1;false;313;
"undefined";"undefined";"undefined";"undefined";8;3;1;5;1;false;321;
"undefined";"undefined";"undefined";"undefined";6;1;1;10;1;false;361;
"undefined";"undefined";"undefined";"undefined";8;3;1;1;1;true;362;
"undefined";"undefined";"undefined";"undefined";1;4;1;6;1;false;329;
"undefined";"undefined";"undefined";"undefined";5;0;1;6;1;false;321;
"undefined";"undefined";"undefined";"undefined";7;2;1;2;1;false;321;
"undefined";"undefined";"undefined";"undefined";8;3;1;4;1;false;301;
"undefined";"undefined";"undefined";"undefined";9;4;1;4;1;false;313;
"undefined";"undefined";"undefined";"undefined";2;3;1;6;1;false;393;
"undefined";"undefined";"undefined";"undefined";5;0;1;2;1;false;379;
"undefined";"undefined";"undefined";"undefined";3;2;1;5;1;false;334;
"undefined";"undefined";"undefined";"undefined";4;1;1;10;1;false;370;
"undefined";"undefined";"undefined";"undefined";1;4;1;7;1;false;367;
"undefined";"undefined";"undefined";"undefined";6;1;1;6;1;false;321;
"undefined";"undefined";"undefined";"undefined";9;4;1;7;1;false;317;
"undefined";"undefined";"undefined";"undefined";1;4;1;6;1;false;332;
"undefined";"undefined";"undefined";"undefined";8;3;1;1;1;true;295;
"undefined";"undefined";"undefined";"undefined";3;2;1;4;1;false;287;
"undefined";"undefined";"undefined";"undefined";8;3;1;10;1;false;348;
"undefined";"undefined";"undefined";"undefined";6;1;1;1;1;true;313;
"undefined";"undefined";"undefined";"undefined";7;2;1;7;1;false;329;
"undefined";"undefined";"undefined";"undefined";3;2;1;4;1;false;361;
"undefined";"undefined";"undefined";"undefined";6;1;1;6;1;false;334;
"undefined";"undefined";"undefined";"undefined";7;2;1;9;1;false;313;
"undefined";"undefined";"undefined";"undefined";2;3;1;10;1;false;312;
"undefined";"undefined";"undefined";"undefined";7;2;1;1;1;true;300;
"undefined";"undefined";"undefined";"undefined";8;3;1;2;1;false;316;
"undefined";"undefined";"undefined";"undefined";1;4;1;9;1;false;336;
