"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Schmutz;Schmutz_Group;Schmutz_Above;Schmutz_Below;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";10;9;4;0;none;0;0;1;2;1;false;363;
"undefined";"undefined";"undefined";"undefined";20;5;0;0;none;0;0;1;9;1;false;383;
"undefined";"undefined";"undefined";"undefined";18;2;3;0;none;0;0;1;9;1;false;375;
"undefined";"undefined";"undefined";"undefined";6;4;1;7;5-10;3;4;1;3;1;false;377;
"undefined";"undefined";"undefined";"undefined";18;4;1;0;none;0;0;1;7;1;false;332;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;none;0;0;1;10;1;false;367;
"undefined";"undefined";"undefined";"undefined";14;9;4;0;none;0;0;1;5;1;false;369;
"undefined";"undefined";"undefined";"undefined";8;8;3;4;0-5;2;2;1;5;1;false;387;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;none;0;0;1;4;1;false;393;
"undefined";"undefined";"undefined";"undefined";8;8;3;10;5-10;4;6;1;9;1;false;343;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;0-5;4;0;1;8;1;false;351;
"undefined";"undefined";"undefined";"undefined";20;8;3;0;none;0;0;1;8;1;false;396;
"undefined";"undefined";"undefined";"undefined";20;1;4;0;none;0;0;1;8;1;false;368;
"undefined";"undefined";"undefined";"undefined";8;4;1;9;5-10;4;5;1;10;1;false;398;
"undefined";"undefined";"undefined";"undefined";8;9;4;8;5-10;8;0;1;8;1;false;328;
"undefined";"undefined";"undefined";"undefined";14;9;4;0;none;0;0;1;3;1;false;344;
"undefined";"undefined";"undefined";"undefined";6;6;1;15;10-15;5;10;1;1;1;true;356;
"undefined";"undefined";"undefined";"undefined";8;3;2;3;0-5;1;2;1;7;1;false;472;
"undefined";"undefined";"undefined";"undefined";6;5;0;13;10-15;3;10;1;8;1;false;377;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;none;0;0;1;2;1;false;394;
"undefined";"undefined";"undefined";"undefined";20;7;2;0;none;0;0;1;10;1;false;385;
"undefined";"undefined";"undefined";"undefined";20;1;4;0;none;0;0;1;8;1;false;396;
"undefined";"undefined";"undefined";"undefined";6;5;0;14;10-15;8;6;1;7;1;false;351;
"undefined";"undefined";"undefined";"undefined";8;8;3;6;5-10;2;4;1;3;1;false;349;
"undefined";"undefined";"undefined";"undefined";10;2;3;0;none;0;0;1;2;1;false;356;
"undefined";"undefined";"undefined";"undefined";8;5;0;5;0-5;3;2;1;2;1;false;406;
"undefined";"undefined";"undefined";"undefined";6;1;4;5;0-5;0;5;1;8;1;false;401;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;none;0;0;1;9;1;false;353;
"undefined";"undefined";"undefined";"undefined";14;5;0;5;0-5;0;5;1;9;1;false;386;
"undefined";"undefined";"undefined";"undefined";18;4;1;0;none;0;0;1;5;1;false;355;
"undefined";"undefined";"undefined";"undefined";10;8;3;3;0-5;3;0;1;4;1;false;339;
"undefined";"undefined";"undefined";"undefined";6;1;4;3;0-5;0;3;1;3;1;false;645;
"undefined";"undefined";"undefined";"undefined";18;5;0;0;none;0;0;1;7;1;false;404;
"undefined";"undefined";"undefined";"undefined";20;2;3;0;none;0;0;1;1;1;true;363;
"undefined";"undefined";"undefined";"undefined";6;1;4;4;0-5;0;4;1;5;1;false;488;
"undefined";"undefined";"undefined";"undefined";8;4;1;6;5-10;2;4;1;6;1;false;484;
"undefined";"undefined";"undefined";"undefined";14;1;4;0;none;0;0;1;7;1;false;447;
"undefined";"undefined";"undefined";"undefined";6;8;3;8;5-10;3;5;1;1;1;true;336;
"undefined";"undefined";"undefined";"undefined";18;7;2;0;none;0;0;1;8;1;false;401;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;none;0;0;1;8;1;false;365;
"undefined";"undefined";"undefined";"undefined";20;5;0;0;none;0;0;1;2;1;false;355;
"undefined";"undefined";"undefined";"undefined";14;4;1;1;0-5;1;0;1;9;1;false;359;
"undefined";"undefined";"undefined";"undefined";10;7;2;4;0-5;1;3;1;7;1;false;368;
"undefined";"undefined";"undefined";"undefined";10;9;4;0;none;0;0;1;7;1;false;361;
"undefined";"undefined";"undefined";"undefined";20;7;2;0;none;0;0;1;3;1;false;329;
"undefined";"undefined";"undefined";"undefined";14;5;0;0;none;0;0;1;8;1;false;345;
"undefined";"undefined";"undefined";"undefined";20;7;2;0;none;0;0;1;8;1;false;362;
"undefined";"undefined";"undefined";"undefined";8;1;4;3;0-5;0;3;1;7;1;false;356;
"undefined";"undefined";"undefined";"undefined";10;5;0;8;5-10;3;5;1;9;1;false;306;
"undefined";"undefined";"undefined";"undefined";6;9;4;7;5-10;7;0;1;7;1;false;334;
"undefined";"undefined";"undefined";"undefined";8;2;3;10;5-10;6;4;1;7;1;false;342;
"undefined";"undefined";"undefined";"undefined";10;8;3;4;0-5;4;0;1;7;1;false;339;
"undefined";"undefined";"undefined";"undefined";6;6;1;15;10-15;9;6;1;6;1;false;330;
"undefined";"undefined";"undefined";"undefined";20;1;4;0;none;0;0;1;8;1;false;319;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;none;0;0;1;8;1;false;310;
"undefined";"undefined";"undefined";"undefined";6;1;4;2;0-5;0;2;1;5;1;false;403;
"undefined";"undefined";"undefined";"undefined";6;2;3;7;5-10;4;3;1;6;1;false;354;
"undefined";"undefined";"undefined";"undefined";18;5;0;0;none;0;0;1;2;1;false;329;
"undefined";"undefined";"undefined";"undefined";6;9;4;3;0-5;3;0;1;4;1;false;333;
"undefined";"undefined";"undefined";"undefined";10;7;2;2;0-5;0;2;1;6;1;false;318;
"undefined";"undefined";"undefined";"undefined";8;5;0;4;0-5;2;2;1;6;1;false;383;
"undefined";"undefined";"undefined";"undefined";6;4;1;12;10-15;5;7;1;5;1;false;327;
"undefined";"undefined";"undefined";"undefined";20;5;0;0;none;0;0;1;1;1;true;326;
"undefined";"undefined";"undefined";"undefined";6;2;3;14;10-15;7;7;1;9;1;false;595;
"undefined";"undefined";"undefined";"undefined";8;8;3;4;0-5;2;2;1;10;1;false;315;
"undefined";"undefined";"undefined";"undefined";10;5;0;1;0-5;0;1;1;4;1;false;349;
"undefined";"undefined";"undefined";"undefined";10;5;0;4;0-5;2;2;1;3;1;false;317;
"undefined";"undefined";"undefined";"undefined";20;9;4;0;none;0;0;1;9;1;false;336;
"undefined";"undefined";"undefined";"undefined";20;4;1;0;none;0;0;1;9;1;false;345;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;none;0;0;1;10;1;false;357;
"undefined";"undefined";"undefined";"undefined";20;7;2;0;none;0;0;1;10;1;false;331;
"undefined";"undefined";"undefined";"undefined";18;9;4;0;none;0;0;1;1;1;true;357;
"undefined";"undefined";"undefined";"undefined";6;1;4;3;0-5;0;3;1;1;1;true;389;
"undefined";"undefined";"undefined";"undefined";6;3;2;12;10-15;7;5;1;8;1;false;417;
"undefined";"undefined";"undefined";"undefined";14;4;1;0;none;0;0;1;1;1;true;348;
"undefined";"undefined";"undefined";"undefined";8;5;0;10;5-10;7;3;1;7;1;false;349;
"undefined";"undefined";"undefined";"undefined";6;5;0;9;5-10;5;4;1;10;1;false;392;
"undefined";"undefined";"undefined";"undefined";10;2;3;2;0-5;1;1;1;8;1;false;350;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;0-5;4;0;1;10;1;false;351;
"undefined";"undefined";"undefined";"undefined";6;9;4;3;0-5;3;0;1;9;1;false;359;
"undefined";"undefined";"undefined";"undefined";18;7;2;0;none;0;0;1;10;1;false;351;
"undefined";"undefined";"undefined";"undefined";8;8;3;3;0-5;3;0;1;10;1;false;342;
"undefined";"undefined";"undefined";"undefined";6;2;3;8;5-10;3;5;1;2;1;false;491;
"undefined";"undefined";"undefined";"undefined";10;3;2;3;0-5;2;1;1;5;1;false;340;
"undefined";"undefined";"undefined";"undefined";14;8;3;1;0-5;0;1;1;10;1;false;333;
"undefined";"undefined";"undefined";"undefined";14;1;4;0;none;0;0;1;6;1;false;369;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;0-5;4;0;1;9;1;false;303;
"undefined";"undefined";"undefined";"undefined";10;2;3;2;0-5;2;0;1;8;1;false;308;
"undefined";"undefined";"undefined";"undefined";8;4;1;6;5-10;4;2;1;3;1;false;349;
"undefined";"undefined";"undefined";"undefined";8;9;4;2;0-5;2;0;1;10;1;false;344;
"undefined";"undefined";"undefined";"undefined";6;4;1;8;5-10;4;4;1;4;1;false;339;
"undefined";"undefined";"undefined";"undefined";6;7;2;9;5-10;6;3;1;1;1;true;357;
"undefined";"undefined";"undefined";"undefined";6;7;2;13;10-15;5;8;1;9;1;false;343;
"undefined";"undefined";"undefined";"undefined";8;8;3;8;5-10;5;3;1;4;1;false;336;
"undefined";"undefined";"undefined";"undefined";6;6;1;9;5-10;4;5;1;1;1;true;497;
"undefined";"undefined";"undefined";"undefined";18;6;1;0;none;0;0;1;8;1;false;370;
"undefined";"undefined";"undefined";"undefined";18;9;4;0;none;0;0;1;3;1;false;374;
"undefined";"undefined";"undefined";"undefined";6;6;1;12;10-15;5;7;1;4;1;false;370;
"undefined";"undefined";"undefined";"undefined";14;2;3;2;0-5;1;1;1;4;1;false;387;
"undefined";"undefined";"undefined";"undefined";20;8;3;0;none;0;0;1;4;1;false;425;
"undefined";"undefined";"undefined";"undefined";18;8;3;0;none;0;0;1;2;1;false;339;
"undefined";"undefined";"undefined";"undefined";14;1;4;0;none;0;0;1;3;1;false;362;
"undefined";"undefined";"undefined";"undefined";8;6;1;10;5-10;7;3;1;6;1;false;367;
"undefined";"undefined";"undefined";"undefined";14;7;2;0;none;0;0;1;8;1;false;343;
"undefined";"undefined";"undefined";"undefined";20;4;1;0;none;0;0;1;3;1;false;346;
"undefined";"undefined";"undefined";"undefined";8;8;3;5;0-5;3;2;1;3;1;false;327;
"undefined";"undefined";"undefined";"undefined";18;6;1;0;none;0;0;1;2;1;false;331;
"undefined";"undefined";"undefined";"undefined";20;6;1;0;none;0;0;1;7;1;false;345;
"undefined";"undefined";"undefined";"undefined";8;4;1;7;5-10;4;3;1;3;1;false;419;
"undefined";"undefined";"undefined";"undefined";20;9;4;0;none;0;0;1;8;1;false;368;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;none;0;0;1;1;1;true;349;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;0-5;0;4;1;2;1;false;431;
"undefined";"undefined";"undefined";"undefined";20;8;3;0;none;0;0;1;5;1;false;401;
"undefined";"undefined";"undefined";"undefined";18;1;4;0;none;0;0;1;8;1;false;342;
"undefined";"undefined";"undefined";"undefined";8;2;3;9;5-10;6;3;1;3;1;false;399;
"undefined";"undefined";"undefined";"undefined";8;5;0;11;10-15;6;5;1;4;1;false;383;
"undefined";"undefined";"undefined";"undefined";6;5;0;10;5-10;4;6;1;10;1;false;360;
"undefined";"undefined";"undefined";"undefined";6;8;3;12;10-15;5;7;1;10;1;false;397;
"undefined";"undefined";"undefined";"undefined";20;8;3;0;none;0;0;1;3;1;false;352;
"undefined";"undefined";"undefined";"undefined";14;2;3;0;none;0;0;1;8;1;false;414;
"undefined";"undefined";"undefined";"undefined";20;8;3;0;none;0;0;1;5;1;false;381;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;0-5;0;4;1;7;1;false;371;
"undefined";"undefined";"undefined";"undefined";8;6;1;10;5-10;6;4;1;6;1;false;348;
"undefined";"undefined";"undefined";"undefined";8;6;1;7;5-10;2;5;1;1;1;true;362;
"undefined";"undefined";"undefined";"undefined";20;2;3;0;none;0;0;1;5;1;false;363;
"undefined";"undefined";"undefined";"undefined";8;3;2;6;5-10;2;4;1;3;1;false;357;
"undefined";"undefined";"undefined";"undefined";20;4;1;0;none;0;0;1;1;1;true;364;
"undefined";"undefined";"undefined";"undefined";18;9;4;0;none;0;0;1;3;1;false;369;
"undefined";"undefined";"undefined";"undefined";6;5;0;10;5-10;4;6;1;1;1;true;369;
"undefined";"undefined";"undefined";"undefined";8;2;3;4;0-5;1;3;1;8;1;false;338;
"undefined";"undefined";"undefined";"undefined";14;4;1;0;none;0;0;1;5;1;false;368;
"undefined";"undefined";"undefined";"undefined";8;1;4;3;0-5;0;3;1;7;1;false;366;
"undefined";"undefined";"undefined";"undefined";20;7;2;0;none;0;0;1;8;1;false;347;
"undefined";"undefined";"undefined";"undefined";6;6;1;8;5-10;4;4;1;4;1;false;395;
"undefined";"undefined";"undefined";"undefined";20;4;1;0;none;0;0;1;6;1;false;313;
"undefined";"undefined";"undefined";"undefined";14;7;2;0;none;0;0;1;6;1;false;311;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;none;0;0;1;3;1;false;349;
"undefined";"undefined";"undefined";"undefined";10;8;3;5;0-5;0;5;1;1;1;true;356;
"undefined";"undefined";"undefined";"undefined";8;6;1;10;5-10;9;1;1;5;1;false;393;
"undefined";"undefined";"undefined";"undefined";10;5;0;2;0-5;1;1;1;8;1;false;372;
"undefined";"undefined";"undefined";"undefined";8;1;4;3;0-5;0;3;1;7;1;false;385;
"undefined";"undefined";"undefined";"undefined";8;9;4;3;0-5;3;0;1;3;1;false;358;
"undefined";"undefined";"undefined";"undefined";6;3;2;9;5-10;5;4;1;2;1;false;331;
"undefined";"undefined";"undefined";"undefined";10;2;3;5;0-5;5;0;1;10;1;false;399;
"undefined";"undefined";"undefined";"undefined";10;7;2;6;5-10;0;6;1;1;1;true;336;
"undefined";"undefined";"undefined";"undefined";8;7;2;15;10-15;8;7;1;2;1;false;351;
"undefined";"undefined";"undefined";"undefined";14;7;2;0;none;0;0;1;4;1;false;382;
"undefined";"undefined";"undefined";"undefined";20;2;3;0;none;0;0;1;9;1;false;377;
"undefined";"undefined";"undefined";"undefined";18;8;3;0;none;0;0;1;1;1;true;340;
"undefined";"undefined";"undefined";"undefined";6;4;1;9;5-10;4;5;1;8;1;false;371;
"undefined";"undefined";"undefined";"undefined";8;6;1;4;0-5;4;0;1;3;1;false;383;
"undefined";"undefined";"undefined";"undefined";8;7;2;8;5-10;3;5;1;8;1;false;354;
"undefined";"undefined";"undefined";"undefined";10;3;2;8;5-10;5;3;1;1;1;true;352;
"undefined";"undefined";"undefined";"undefined";6;1;4;6;5-10;0;6;1;1;1;true;365;
"undefined";"undefined";"undefined";"undefined";20;2;3;0;none;0;0;1;5;1;false;347;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;0-5;0;4;1;1;1;true;372;
"undefined";"undefined";"undefined";"undefined";8;1;4;2;0-5;0;2;1;4;1;false;383;
"undefined";"undefined";"undefined";"undefined";10;2;3;3;0-5;3;0;1;6;1;false;343;
"undefined";"undefined";"undefined";"undefined";8;2;3;7;5-10;3;4;1;4;1;false;363;
"undefined";"undefined";"undefined";"undefined";20;5;0;0;none;0;0;1;5;1;false;369;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;none;0;0;1;9;1;false;355;
"undefined";"undefined";"undefined";"undefined";20;6;1;0;none;0;0;1;3;1;false;351;
"undefined";"undefined";"undefined";"undefined";18;4;1;0;none;0;0;1;10;1;false;347;
"undefined";"undefined";"undefined";"undefined";10;2;3;4;0-5;4;0;1;5;1;false;386;
"undefined";"undefined";"undefined";"undefined";10;7;2;6;5-10;1;5;1;9;1;false;351;
"undefined";"undefined";"undefined";"undefined";14;6;1;1;0-5;1;0;1;1;1;true;368;
"undefined";"undefined";"undefined";"undefined";20;4;1;0;none;0;0;1;8;1;false;361;
"undefined";"undefined";"undefined";"undefined";14;7;2;0;none;0;0;1;6;1;false;351;
"undefined";"undefined";"undefined";"undefined";8;2;3;6;5-10;2;4;1;10;1;false;395;
"undefined";"undefined";"undefined";"undefined";18;7;2;0;none;0;0;1;4;1;false;389;
"undefined";"undefined";"undefined";"undefined";14;2;3;0;none;0;0;1;10;1;false;401;
"undefined";"undefined";"undefined";"undefined";14;9;4;0;none;0;0;1;3;1;false;358;
"undefined";"undefined";"undefined";"undefined";10;3;2;6;5-10;4;2;1;7;1;false;345;
"undefined";"undefined";"undefined";"undefined";14;9;4;0;none;0;0;1;1;1;true;377;
"undefined";"undefined";"undefined";"undefined";10;6;1;4;0-5;3;1;1;3;1;false;362;
"undefined";"undefined";"undefined";"undefined";14;1;4;0;none;0;0;1;5;1;false;371;
"undefined";"undefined";"undefined";"undefined";8;2;3;7;5-10;5;2;1;2;1;false;360;
"undefined";"undefined";"undefined";"undefined";20;7;2;0;none;0;0;1;10;1;false;355;
"undefined";"undefined";"undefined";"undefined";6;2;3;12;10-15;8;4;1;10;1;false;385;
"undefined";"undefined";"undefined";"undefined";10;3;2;6;5-10;2;4;1;6;1;false;360;
"undefined";"undefined";"undefined";"undefined";8;9;4;7;5-10;7;0;1;3;1;false;346;
"undefined";"undefined";"undefined";"undefined";18;2;3;0;none;0;0;1;7;1;false;367;
"undefined";"undefined";"undefined";"undefined";10;3;2;5;0-5;4;1;1;7;1;false;353;
"undefined";"undefined";"undefined";"undefined";14;4;1;0;none;0;0;1;6;1;false;348;
"undefined";"undefined";"undefined";"undefined";18;3;2;0;none;0;0;1;10;1;false;332;
"undefined";"undefined";"undefined";"undefined";18;7;2;0;none;0;0;1;8;1;false;333;
"undefined";"undefined";"undefined";"undefined";18;9;4;0;none;0;0;1;8;1;false;373;
"undefined";"undefined";"undefined";"undefined";18;1;4;0;none;0;0;1;8;1;false;355;
"undefined";"undefined";"undefined";"undefined";6;7;2;7;5-10;4;3;1;6;1;false;596;
"undefined";"undefined";"undefined";"undefined";18;3;2;0;none;0;0;1;2;1;false;368;
"undefined";"undefined";"undefined";"undefined";10;5;0;1;0-5;0;1;1;10;1;false;351;
"undefined";"undefined";"undefined";"undefined";8;9;4;2;0-5;2;0;1;2;1;false;376;
"undefined";"undefined";"undefined";"undefined";8;1;4;2;0-5;0;2;1;3;1;false;406;
"undefined";"undefined";"undefined";"undefined";18;9;4;0;none;0;0;1;1;1;true;349;
"undefined";"undefined";"undefined";"undefined";20;9;4;0;none;0;0;1;2;1;false;370;
"undefined";"undefined";"undefined";"undefined";14;9;4;0;none;0;0;1;1;1;true;334;
"undefined";"undefined";"undefined";"undefined";18;5;0;0;none;0;0;1;9;1;false;353;
"undefined";"undefined";"undefined";"undefined";8;7;2;9;5-10;7;2;1;10;1;false;677;
"undefined";"undefined";"undefined";"undefined";10;8;3;2;0-5;0;2;1;3;1;false;364;
"undefined";"undefined";"undefined";"undefined";10;6;1;7;5-10;3;4;1;2;1;false;352;
"undefined";"undefined";"undefined";"undefined";8;2;3;2;0-5;2;0;1;2;1;false;379;
"undefined";"undefined";"undefined";"undefined";10;3;2;1;0-5;1;0;1;8;1;false;437;
"undefined";"undefined";"undefined";"undefined";10;9;4;1;0-5;1;0;1;2;1;false;371;
"undefined";"undefined";"undefined";"undefined";6;3;2;13;10-15;8;5;1;2;1;false;471;
"undefined";"undefined";"undefined";"undefined";10;4;1;1;0-5;1;0;1;5;1;false;393;
"undefined";"undefined";"undefined";"undefined";14;2;3;0;none;0;0;1;5;1;false;338;
"undefined";"undefined";"undefined";"undefined";20;6;1;0;none;0;0;1;10;1;false;422;
"undefined";"undefined";"undefined";"undefined";20;1;4;0;none;0;0;1;8;1;false;385;
"undefined";"undefined";"undefined";"undefined";14;9;4;0;none;0;0;1;8;1;false;393;
"undefined";"undefined";"undefined";"undefined";6;6;1;12;10-15;6;6;1;4;1;false;378;
"undefined";"undefined";"undefined";"undefined";20;5;0;0;none;0;0;1;4;1;false;371;
"undefined";"undefined";"undefined";"undefined";10;8;3;2;0-5;0;2;1;8;1;false;349;
"undefined";"undefined";"undefined";"undefined";10;6;1;4;0-5;4;0;1;2;1;false;412;
"undefined";"undefined";"undefined";"undefined";6;4;1;9;5-10;4;5;1;9;1;false;464;
"undefined";"undefined";"undefined";"undefined";10;8;3;0;none;0;0;1;9;1;false;378;
"undefined";"undefined";"undefined";"undefined";8;7;2;6;5-10;3;3;1;6;1;false;397;
"undefined";"undefined";"undefined";"undefined";8;4;1;8;5-10;4;4;1;9;1;false;373;
"undefined";"undefined";"undefined";"undefined";14;5;0;0;none;0;0;1;3;1;false;384;
"undefined";"undefined";"undefined";"undefined";6;2;3;10;5-10;5;5;1;5;1;false;514;
"undefined";"undefined";"undefined";"undefined";18;2;3;0;none;0;0;1;7;1;false;382;
"undefined";"undefined";"undefined";"undefined";18;2;3;0;none;0;0;1;9;1;false;355;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;0-5;4;0;1;9;1;false;320;
"undefined";"undefined";"undefined";"undefined";8;6;1;9;5-10;4;5;1;2;1;false;369;
"undefined";"undefined";"undefined";"undefined";18;6;1;0;none;0;0;1;10;1;false;350;
"undefined";"undefined";"undefined";"undefined";14;4;1;0;none;0;0;1;6;1;false;320;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;0-5;1;0;1;5;1;false;411;
"undefined";"undefined";"undefined";"undefined";20;8;3;0;none;0;0;1;7;1;false;422;
"undefined";"undefined";"undefined";"undefined";20;5;0;0;none;0;0;1;5;1;false;385;
"undefined";"undefined";"undefined";"undefined";6;2;3;8;5-10;3;5;1;9;1;false;444;
"undefined";"undefined";"undefined";"undefined";10;2;3;1;0-5;1;0;1;4;1;false;407;
"undefined";"undefined";"undefined";"undefined";20;1;4;0;none;0;0;1;1;1;true;377;
"undefined";"undefined";"undefined";"undefined";18;5;0;0;none;0;0;1;6;1;false;365;
"undefined";"undefined";"undefined";"undefined";18;3;2;0;none;0;0;1;10;1;false;352;
"undefined";"undefined";"undefined";"undefined";10;1;4;0;none;0;0;1;6;1;false;393;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;none;0;0;1;3;1;false;351;
"undefined";"undefined";"undefined";"undefined";8;8;3;10;5-10;6;4;1;9;1;false;378;
"undefined";"undefined";"undefined";"undefined";6;2;3;12;10-15;4;8;1;5;1;false;385;
"undefined";"undefined";"undefined";"undefined";14;5;0;2;0-5;2;0;1;8;1;false;400;
"undefined";"undefined";"undefined";"undefined";18;3;2;0;none;0;0;1;10;1;false;364;
"undefined";"undefined";"undefined";"undefined";6;7;2;13;10-15;7;6;1;1;1;true;399;
"undefined";"undefined";"undefined";"undefined";6;4;1;7;5-10;4;3;1;1;1;true;580;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;none;0;0;1;10;1;false;409;
"undefined";"undefined";"undefined";"undefined";6;6;1;10;5-10;6;4;1;4;1;false;429;
"undefined";"undefined";"undefined";"undefined";10;3;2;0;none;0;0;1;8;1;false;367;
"undefined";"undefined";"undefined";"undefined";18;4;1;0;none;0;0;1;6;1;false;379;
"undefined";"undefined";"undefined";"undefined";14;3;2;1;0-5;1;0;1;7;1;false;393;
"undefined";"undefined";"undefined";"undefined";20;7;2;0;none;0;0;1;4;1;false;393;
"undefined";"undefined";"undefined";"undefined";10;1;4;0;none;0;0;1;10;1;false;383;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;none;0;0;1;4;1;false;382;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;0-5;4;0;1;4;1;false;405;
"undefined";"undefined";"undefined";"undefined";14;7;2;0;none;0;0;1;3;1;false;406;
"undefined";"undefined";"undefined";"undefined";8;5;0;3;0-5;3;0;1;3;1;false;466;
"undefined";"undefined";"undefined";"undefined";14;7;2;0;none;0;0;1;2;1;false;389;
"undefined";"undefined";"undefined";"undefined";10;3;2;3;0-5;0;3;1;2;1;false;379;
"undefined";"undefined";"undefined";"undefined";10;9;4;3;0-5;3;0;1;8;1;false;403;
"undefined";"undefined";"undefined";"undefined";14;1;4;0;none;0;0;1;1;1;true;432;
"undefined";"undefined";"undefined";"undefined";20;7;2;0;none;0;0;1;1;1;true;360;
"undefined";"undefined";"undefined";"undefined";18;4;1;0;none;0;0;1;4;1;false;386;
"undefined";"undefined";"undefined";"undefined";14;3;2;2;0-5;2;0;1;3;1;false;395;
"undefined";"undefined";"undefined";"undefined";18;1;4;0;none;0;0;1;3;1;false;456;
"undefined";"undefined";"undefined";"undefined";10;3;2;4;0-5;2;2;1;9;1;false;417;
"undefined";"undefined";"undefined";"undefined";10;6;1;2;0-5;2;0;1;5;1;false;400;
"undefined";"undefined";"undefined";"undefined";20;6;1;0;none;0;0;1;7;1;false;403;
"undefined";"undefined";"undefined";"undefined";14;2;3;3;0-5;3;0;1;6;1;false;418;
"undefined";"undefined";"undefined";"undefined";18;3;2;0;none;0;0;1;2;1;false;368;
"undefined";"undefined";"undefined";"undefined";14;5;0;0;none;0;0;1;1;1;true;361;
"undefined";"undefined";"undefined";"undefined";10;9;4;0;none;0;0;1;9;1;false;382;
"undefined";"undefined";"undefined";"undefined";14;3;2;0;none;0;0;1;2;1;false;372;
"undefined";"undefined";"undefined";"undefined";6;5;0;9;5-10;4;5;1;6;1;false;475;
"undefined";"undefined";"undefined";"undefined";8;7;2;6;5-10;4;2;1;7;1;false;391;
"undefined";"undefined";"undefined";"undefined";6;6;1;8;5-10;3;5;1;3;1;false;387;
"undefined";"undefined";"undefined";"undefined";6;4;1;11;10-15;5;6;1;9;1;false;475;
"undefined";"undefined";"undefined";"undefined";10;2;3;1;0-5;0;1;1;10;1;false;605;
"undefined";"undefined";"undefined";"undefined";10;1;4;3;0-5;0;3;1;7;1;false;428;
