"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Empty_Lines;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";4;3;1;2;1;10;1;false;629;
"undefined";"undefined";"undefined";"undefined";4;9;3;4;1;4;1;false;545;
"undefined";"undefined";"undefined";"undefined";4;5;0;0;1;4;1;false;676;
"undefined";"undefined";"undefined";"undefined";4;1;1;4;1;8;1;false;644;
"undefined";"undefined";"undefined";"undefined";6;1;1;4;1;7;1;false;589;
"undefined";"undefined";"undefined";"undefined";6;2;0;3;1;2;1;false;690;
"undefined";"undefined";"undefined";"undefined";4;8;0;3;1;1;1;true;542;
"undefined";"undefined";"undefined";"undefined";6;5;2;0;1;6;1;false;607;
"undefined";"undefined";"undefined";"undefined";2;9;3;4;1;8;1;false;688;
"undefined";"undefined";"undefined";"undefined";6;5;1;0;1;7;1;false;727;
"undefined";"undefined";"undefined";"undefined";6;2;3;3;1;4;1;false;600;
"undefined";"undefined";"undefined";"undefined";2;6;3;1;1;3;1;false;1098;
"undefined";"undefined";"undefined";"undefined";8;3;2;2;1;4;1;false;580;
"undefined";"undefined";"undefined";"undefined";8;8;2;3;1;4;1;false;682;
"undefined";"undefined";"undefined";"undefined";6;2;0;3;1;7;1;false;657;
"undefined";"undefined";"undefined";"undefined";6;9;0;4;1;7;1;false;714;
"undefined";"undefined";"undefined";"undefined";8;9;2;4;1;6;1;false;588;
"undefined";"undefined";"undefined";"undefined";8;2;2;3;1;8;1;false;637;
"undefined";"undefined";"undefined";"undefined";8;6;3;1;1;7;1;false;664;
"undefined";"undefined";"undefined";"undefined";8;7;0;2;1;10;1;false;504;
"undefined";"undefined";"undefined";"undefined";8;6;0;1;1;2;1;false;471;
"undefined";"undefined";"undefined";"undefined";2;9;0;4;1;1;1;true;694;
"undefined";"undefined";"undefined";"undefined";8;7;1;2;1;1;1;true;717;
"undefined";"undefined";"undefined";"undefined";2;3;1;2;1;9;1;false;922;
"undefined";"undefined";"undefined";"undefined";4;3;3;2;1;7;1;false;636;
"undefined";"undefined";"undefined";"undefined";8;7;0;2;1;8;1;false;569;
"undefined";"undefined";"undefined";"undefined";6;3;0;2;1;9;1;false;695;
"undefined";"undefined";"undefined";"undefined";2;1;0;4;1;2;1;false;664;
"undefined";"undefined";"undefined";"undefined";4;7;1;2;1;6;1;false;687;
"undefined";"undefined";"undefined";"undefined";6;6;2;1;1;1;1;true;587;
"undefined";"undefined";"undefined";"undefined";4;3;2;2;1;5;1;false;717;
"undefined";"undefined";"undefined";"undefined";2;2;0;3;1;8;1;false;823;
"undefined";"undefined";"undefined";"undefined";4;5;0;0;1;8;1;false;631;
"undefined";"undefined";"undefined";"undefined";8;6;0;1;1;3;1;false;570;
"undefined";"undefined";"undefined";"undefined";6;3;2;2;1;4;1;false;701;
"undefined";"undefined";"undefined";"undefined";2;6;2;1;1;8;1;false;1104;
"undefined";"undefined";"undefined";"undefined";2;2;0;3;1;3;1;false;851;
"undefined";"undefined";"undefined";"undefined";8;1;1;4;1;7;1;false;593;
"undefined";"undefined";"undefined";"undefined";6;1;2;4;1;5;1;false;589;
"undefined";"undefined";"undefined";"undefined";8;8;3;3;1;9;1;false;625;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;1;7;1;false;1018;
"undefined";"undefined";"undefined";"undefined";4;6;3;1;1;5;1;false;1054;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;1;9;1;false;619;
"undefined";"undefined";"undefined";"undefined";6;1;1;4;1;8;1;false;586;
"undefined";"undefined";"undefined";"undefined";4;4;3;1;1;1;1;true;901;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;1;3;1;false;958;
"undefined";"undefined";"undefined";"undefined";4;5;3;0;1;5;1;false;1324;
"undefined";"undefined";"undefined";"undefined";2;8;1;3;1;3;1;false;850;
"undefined";"undefined";"undefined";"undefined";2;5;2;0;1;2;1;false;1127;
"undefined";"undefined";"undefined";"undefined";8;7;1;2;1;10;1;false;550;
"undefined";"undefined";"undefined";"undefined";4;4;0;1;1;4;1;false;651;
"undefined";"undefined";"undefined";"undefined";6;9;3;4;1;10;1;false;655;
"undefined";"undefined";"undefined";"undefined";6;8;3;3;1;9;1;false;785;
"undefined";"undefined";"undefined";"undefined";4;8;1;3;1;2;1;false;663;
"undefined";"undefined";"undefined";"undefined";8;2;2;3;1;4;1;false;649;
"undefined";"undefined";"undefined";"undefined";6;7;3;2;1;3;1;false;682;
"undefined";"undefined";"undefined";"undefined";4;9;0;4;1;3;1;false;713;
"undefined";"undefined";"undefined";"undefined";8;8;2;3;1;4;1;false;533;
"undefined";"undefined";"undefined";"undefined";6;2;0;3;1;3;1;false;666;
"undefined";"undefined";"undefined";"undefined";4;9;1;4;1;4;1;false;582;
"undefined";"undefined";"undefined";"undefined";8;4;3;1;1;1;1;true;660;
"undefined";"undefined";"undefined";"undefined";4;6;2;1;1;3;1;false;714;
"undefined";"undefined";"undefined";"undefined";8;1;2;4;1;3;1;false;568;
"undefined";"undefined";"undefined";"undefined";8;9;2;4;1;4;1;false;511;
"undefined";"undefined";"undefined";"undefined";4;2;3;3;1;2;1;false;581;
"undefined";"undefined";"undefined";"undefined";6;8;1;3;1;2;1;false;495;
"undefined";"undefined";"undefined";"undefined";8;3;2;2;1;4;1;false;598;
"undefined";"undefined";"undefined";"undefined";6;9;0;4;1;8;1;false;562;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;1;4;1;false;1014;
"undefined";"undefined";"undefined";"undefined";2;8;3;3;1;7;1;false;770;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;1;8;1;false;787;
"undefined";"undefined";"undefined";"undefined";2;2;3;3;1;7;1;false;933;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;1;10;1;false;566;
"undefined";"undefined";"undefined";"undefined";2;5;2;0;1;6;1;false;1164;
"undefined";"undefined";"undefined";"undefined";4;1;0;4;1;2;1;false;705;
"undefined";"undefined";"undefined";"undefined";4;9;1;4;1;8;1;false;560;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;1;9;1;false;596;
"undefined";"undefined";"undefined";"undefined";2;5;3;0;1;2;1;false;943;
"undefined";"undefined";"undefined";"undefined";4;9;3;4;1;4;1;false;592;
"undefined";"undefined";"undefined";"undefined";4;9;3;4;1;8;1;false;540;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;1;2;1;false;1100;
"undefined";"undefined";"undefined";"undefined";6;7;2;2;1;2;1;false;655;
"undefined";"undefined";"undefined";"undefined";8;1;3;4;1;7;1;false;699;
"undefined";"undefined";"undefined";"undefined";2;5;3;0;1;6;1;false;1091;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;1;4;1;false;741;
"undefined";"undefined";"undefined";"undefined";8;3;0;2;1;4;1;false;808;
"undefined";"undefined";"undefined";"undefined";6;1;0;4;1;9;1;false;656;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;1;10;1;false;1006;
"undefined";"undefined";"undefined";"undefined";4;1;1;4;1;5;1;false;551;
"undefined";"undefined";"undefined";"undefined";6;4;3;1;1;4;1;false;742;
"undefined";"undefined";"undefined";"undefined";2;7;2;2;1;3;1;false;955;
"undefined";"undefined";"undefined";"undefined";4;7;3;2;1;5;1;false;921;
"undefined";"undefined";"undefined";"undefined";6;5;0;0;1;4;1;false;718;
"undefined";"undefined";"undefined";"undefined";4;3;1;2;1;7;1;false;781;
"undefined";"undefined";"undefined";"undefined";2;6;0;1;1;7;1;false;1123;
"undefined";"undefined";"undefined";"undefined";2;1;2;4;1;3;1;false;691;
"undefined";"undefined";"undefined";"undefined";8;8;0;3;1;4;1;false;620;
"undefined";"undefined";"undefined";"undefined";2;2;1;3;1;5;1;false;681;
"undefined";"undefined";"undefined";"undefined";2;5;1;0;1;5;1;false;896;
"undefined";"undefined";"undefined";"undefined";2;3;2;2;1;5;1;false;943;
"undefined";"undefined";"undefined";"undefined";6;3;1;2;1;10;1;false;682;
"undefined";"undefined";"undefined";"undefined";6;7;2;2;1;6;1;false;838;
"undefined";"undefined";"undefined";"undefined";2;3;3;2;1;7;1;false;1048;
"undefined";"undefined";"undefined";"undefined";8;3;1;2;1;3;1;false;555;
"undefined";"undefined";"undefined";"undefined";6;1;2;4;1;6;1;false;540;
"undefined";"undefined";"undefined";"undefined";8;4;2;1;1;10;1;false;575;
"undefined";"undefined";"undefined";"undefined";2;3;2;2;1;5;1;false;865;
"undefined";"undefined";"undefined";"undefined";8;1;2;4;1;1;1;true;558;
"undefined";"undefined";"undefined";"undefined";4;4;3;1;1;8;1;false;936;
"undefined";"undefined";"undefined";"undefined";6;4;2;1;1;2;1;false;662;
"undefined";"undefined";"undefined";"undefined";4;5;3;0;1;3;1;false;830;
"undefined";"undefined";"undefined";"undefined";4;3;3;2;1;7;1;false;711;
"undefined";"undefined";"undefined";"undefined";6;3;1;2;1;8;1;false;655;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;1;5;1;false;711;
"undefined";"undefined";"undefined";"undefined";4;1;2;4;1;7;1;false;606;
"undefined";"undefined";"undefined";"undefined";4;8;3;3;1;3;1;false;889;
"undefined";"undefined";"undefined";"undefined";6;2;3;3;1;9;1;false;582;
"undefined";"undefined";"undefined";"undefined";2;2;1;3;1;3;1;false;619;
"undefined";"undefined";"undefined";"undefined";4;9;0;4;1;3;1;false;531;
"undefined";"undefined";"undefined";"undefined";8;1;0;4;1;6;1;false;476;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;1;3;1;false;823;
"undefined";"undefined";"undefined";"undefined";2;9;0;4;1;1;1;true;512;
"undefined";"undefined";"undefined";"undefined";2;6;0;1;1;8;1;false;619;
"undefined";"undefined";"undefined";"undefined";8;9;1;4;1;6;1;false;545;
"undefined";"undefined";"undefined";"undefined";2;1;1;4;1;1;1;true;642;
"undefined";"undefined";"undefined";"undefined";6;9;2;4;1;4;1;false;470;
"undefined";"undefined";"undefined";"undefined";8;5;3;0;1;2;1;false;492;
"undefined";"undefined";"undefined";"undefined";8;3;0;2;1;10;1;false;620;
"undefined";"undefined";"undefined";"undefined";4;9;3;4;1;1;1;true;580;
"undefined";"undefined";"undefined";"undefined";8;2;3;3;1;6;1;false;569;
"undefined";"undefined";"undefined";"undefined";8;1;0;4;1;4;1;false;504;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;1;3;1;false;766;
"undefined";"undefined";"undefined";"undefined";2;7;1;2;1;4;1;false;894;
"undefined";"undefined";"undefined";"undefined";8;9;0;4;1;6;1;false;592;
"undefined";"undefined";"undefined";"undefined";4;4;2;1;1;10;1;false;735;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;1;4;1;false;778;
"undefined";"undefined";"undefined";"undefined";4;1;2;4;1;2;1;false;627;
"undefined";"undefined";"undefined";"undefined";2;5;0;0;1;1;1;true;1185;
"undefined";"undefined";"undefined";"undefined";8;3;0;2;1;5;1;false;593;
"undefined";"undefined";"undefined";"undefined";2;3;3;2;1;5;1;false;684;
"undefined";"undefined";"undefined";"undefined";4;1;1;4;1;1;1;true;487;
"undefined";"undefined";"undefined";"undefined";6;8;3;3;1;4;1;false;644;
"undefined";"undefined";"undefined";"undefined";6;9;0;4;1;1;1;true;495;
"undefined";"undefined";"undefined";"undefined";8;6;2;1;1;6;1;false;597;
"undefined";"undefined";"undefined";"undefined";4;2;0;3;1;8;1;false;693;
"undefined";"undefined";"undefined";"undefined";2;3;0;2;1;7;1;false;761;
"undefined";"undefined";"undefined";"undefined";6;5;2;0;1;10;1;false;759;
"undefined";"undefined";"undefined";"undefined";2;1;0;4;1;6;1;false;648;
"undefined";"undefined";"undefined";"undefined";6;8;2;3;1;4;1;false;639;
"undefined";"undefined";"undefined";"undefined";8;6;0;1;1;5;1;false;788;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;1;3;1;false;675;
"undefined";"undefined";"undefined";"undefined";8;5;2;0;1;3;1;false;587;
"undefined";"undefined";"undefined";"undefined";6;8;2;3;1;4;1;false;599;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;1;3;1;false;587;
"undefined";"undefined";"undefined";"undefined";4;5;3;0;1;1;1;true;737;
"undefined";"undefined";"undefined";"undefined";8;7;0;2;1;8;1;false;546;
"undefined";"undefined";"undefined";"undefined";8;5;3;0;1;6;1;false;644;
"undefined";"undefined";"undefined";"undefined";6;1;0;4;1;9;1;false;504;
"undefined";"undefined";"undefined";"undefined";8;4;3;1;1;6;1;false;590;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;1;2;1;false;518;
"undefined";"undefined";"undefined";"undefined";4;5;1;0;1;3;1;false;646;
"undefined";"undefined";"undefined";"undefined";6;4;0;1;1;9;1;false;614;
"undefined";"undefined";"undefined";"undefined";4;7;0;2;1;4;1;false;719;
"undefined";"undefined";"undefined";"undefined";2;1;1;4;1;3;1;false;624;
"undefined";"undefined";"undefined";"undefined";6;5;1;0;1;3;1;false;711;
"undefined";"undefined";"undefined";"undefined";6;2;2;3;1;6;1;false;681;
"undefined";"undefined";"undefined";"undefined";2;1;3;4;1;6;1;false;584;
"undefined";"undefined";"undefined";"undefined";8;9;1;4;1;7;1;false;656;
"undefined";"undefined";"undefined";"undefined";6;3;1;2;1;8;1;false;626;
"undefined";"undefined";"undefined";"undefined";6;4;2;1;1;10;1;false;550;
"undefined";"undefined";"undefined";"undefined";6;9;2;4;1;5;1;false;570;
"undefined";"undefined";"undefined";"undefined";6;7;0;2;1;1;1;true;550;
"undefined";"undefined";"undefined";"undefined";2;5;1;0;1;9;1;false;1292;
"undefined";"undefined";"undefined";"undefined";6;2;1;3;1;3;1;false;623;
"undefined";"undefined";"undefined";"undefined";4;7;2;2;1;2;1;false;712;
"undefined";"undefined";"undefined";"undefined";2;4;0;1;1;4;1;false;1234;
"undefined";"undefined";"undefined";"undefined";2;3;0;2;1;1;1;true;802;
"undefined";"undefined";"undefined";"undefined";4;5;0;0;1;7;1;false;866;
"undefined";"undefined";"undefined";"undefined";4;8;3;3;1;4;1;false;681;
"undefined";"undefined";"undefined";"undefined";4;3;0;2;1;2;1;false;879;
"undefined";"undefined";"undefined";"undefined";4;8;1;3;1;4;1;false;845;
"undefined";"undefined";"undefined";"undefined";8;2;3;3;1;8;1;false;678;
"undefined";"undefined";"undefined";"undefined";2;3;0;2;1;4;1;false;854;
"undefined";"undefined";"undefined";"undefined";2;8;0;3;1;1;1;true;576;
"undefined";"undefined";"undefined";"undefined";2;4;2;1;1;5;1;false;1747;
"undefined";"undefined";"undefined";"undefined";2;1;3;4;1;1;1;true;658;
"undefined";"undefined";"undefined";"undefined";8;5;1;0;1;3;1;false;631;
"undefined";"undefined";"undefined";"undefined";8;3;2;2;1;10;1;false;811;
"undefined";"undefined";"undefined";"undefined";2;3;1;2;1;3;1;false;2004;
"undefined";"undefined";"undefined";"undefined";4;8;3;3;1;5;1;false;1136;
"undefined";"undefined";"undefined";"undefined";8;7;1;2;1;8;1;false;636;
"undefined";"undefined";"undefined";"undefined";6;6;0;1;1;7;1;false;739;
"undefined";"undefined";"undefined";"undefined";2;2;2;3;1;4;1;false;1861;
"undefined";"undefined";"undefined";"undefined";2;2;0;3;1;5;1;false;732;
"undefined";"undefined";"undefined";"undefined";2;6;3;1;1;4;1;false;1171;
"undefined";"undefined";"undefined";"undefined";8;4;0;1;1;9;1;false;577;
"undefined";"undefined";"undefined";"undefined";8;4;3;1;1;4;1;false;620;
"undefined";"undefined";"undefined";"undefined";2;4;0;1;1;1;1;true;954;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;1;1;1;true;751;
"undefined";"undefined";"undefined";"undefined";4;7;1;2;1;8;1;false;943;
"undefined";"undefined";"undefined";"undefined";6;2;3;3;1;3;1;false;804;
"undefined";"undefined";"undefined";"undefined";6;9;1;4;1;7;1;false;678;
"undefined";"undefined";"undefined";"undefined";2;3;1;2;1;5;1;false;1084;
"undefined";"undefined";"undefined";"undefined";4;3;0;2;1;1;1;true;699;
"undefined";"undefined";"undefined";"undefined";4;1;3;4;1;3;1;false;743;
"undefined";"undefined";"undefined";"undefined";8;6;3;1;1;7;1;false;634;
"undefined";"undefined";"undefined";"undefined";4;8;0;3;1;7;1;false;569;
"undefined";"undefined";"undefined";"undefined";8;3;3;2;1;5;1;false;634;
"undefined";"undefined";"undefined";"undefined";8;9;0;4;1;7;1;false;598;
"undefined";"undefined";"undefined";"undefined";4;8;2;3;1;6;1;false;600;
"undefined";"undefined";"undefined";"undefined";4;8;1;3;1;6;1;false;630;
"undefined";"undefined";"undefined";"undefined";2;6;2;1;1;1;1;true;1406;
"undefined";"undefined";"undefined";"undefined";6;9;1;4;1;7;1;false;572;
"undefined";"undefined";"undefined";"undefined";8;3;3;2;1;7;1;false;606;
"undefined";"undefined";"undefined";"undefined";2;6;3;1;1;2;1;false;1472;
"undefined";"undefined";"undefined";"undefined";4;6;3;1;1;3;1;false;760;
"undefined";"undefined";"undefined";"undefined";4;9;2;4;1;3;1;false;556;
"undefined";"undefined";"undefined";"undefined";6;7;1;2;1;6;1;false;575;
"undefined";"undefined";"undefined";"undefined";4;7;3;2;1;5;1;false;784;
"undefined";"undefined";"undefined";"undefined";6;1;1;4;1;10;1;false;628;
"undefined";"undefined";"undefined";"undefined";8;7;3;2;1;9;1;false;751;
"undefined";"undefined";"undefined";"undefined";2;5;3;0;1;1;1;true;1577;
"undefined";"undefined";"undefined";"undefined";8;6;2;1;1;4;1;false;643;
"undefined";"undefined";"undefined";"undefined";6;2;2;3;1;6;1;false;712;
"undefined";"undefined";"undefined";"undefined";6;3;0;2;1;6;1;false;620;
"undefined";"undefined";"undefined";"undefined";2;2;1;3;1;2;1;false;693;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;1;5;1;false;602;
"undefined";"undefined";"undefined";"undefined";4;1;3;4;1;3;1;false;657;
"undefined";"undefined";"undefined";"undefined";6;9;2;4;1;9;1;false;593;
"undefined";"undefined";"undefined";"undefined";8;9;0;4;1;1;1;true;520;
"undefined";"undefined";"undefined";"undefined";6;1;3;4;1;6;1;false;569;
"undefined";"undefined";"undefined";"undefined";8;1;2;4;1;9;1;false;544;
"undefined";"undefined";"undefined";"undefined";2;8;2;3;1;6;1;false;767;
"undefined";"undefined";"undefined";"undefined";2;5;1;0;1;2;1;false;1163;
"undefined";"undefined";"undefined";"undefined";6;6;3;1;1;6;1;false;630;
"undefined";"undefined";"undefined";"undefined";8;1;1;4;1;8;1;false;555;
"undefined";"undefined";"undefined";"undefined";2;1;1;4;1;3;1;false;613;
"undefined";"undefined";"undefined";"undefined";6;9;2;4;1;4;1;false;556;
"undefined";"undefined";"undefined";"undefined";8;4;0;1;1;4;1;false;613;
"undefined";"undefined";"undefined";"undefined";8;4;2;1;1;9;1;false;618;
"undefined";"undefined";"undefined";"undefined";8;9;1;4;1;2;1;false;465;
"undefined";"undefined";"undefined";"undefined";4;6;0;1;1;3;1;false;896;
"undefined";"undefined";"undefined";"undefined";4;9;0;4;1;4;1;false;552;
"undefined";"undefined";"undefined";"undefined";6;3;2;2;1;4;1;false;588;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;1;6;1;false;641;
"undefined";"undefined";"undefined";"undefined";8;2;1;3;1;7;1;false;585;
"undefined";"undefined";"undefined";"undefined";8;5;3;0;1;9;1;false;650;
"undefined";"undefined";"undefined";"undefined";8;4;2;1;1;10;1;false;571;
"undefined";"undefined";"undefined";"undefined";4;2;0;3;1;10;1;false;868;
"undefined";"undefined";"undefined";"undefined";6;7;2;2;1;4;1;false;676;
"undefined";"undefined";"undefined";"undefined";4;3;1;2;1;3;1;false;829;
"undefined";"undefined";"undefined";"undefined";2;7;3;2;1;2;1;false;748;
"undefined";"undefined";"undefined";"undefined";4;7;0;2;1;8;1;false;831;
"undefined";"undefined";"undefined";"undefined";8;3;2;2;1;8;1;false;591;
"undefined";"undefined";"undefined";"undefined";8;8;0;3;1;1;1;true;609;
"undefined";"undefined";"undefined";"undefined";6;9;3;4;1;10;1;false;591;
"undefined";"undefined";"undefined";"undefined";6;8;1;3;1;1;1;true;611;
"undefined";"undefined";"undefined";"undefined";4;9;1;4;1;4;1;false;625;
"undefined";"undefined";"undefined";"undefined";2;4;3;1;1;5;1;false;1042;
"undefined";"undefined";"undefined";"undefined";6;9;1;4;1;5;1;false;578;
"undefined";"undefined";"undefined";"undefined";2;3;3;2;1;10;1;false;1074;
"undefined";"undefined";"undefined";"undefined";4;3;2;2;1;2;1;false;819;
"undefined";"undefined";"undefined";"undefined";8;5;0;0;1;8;1;false;820;
