"Age";"Status";"Studies";"YearsOfExperience";Length;Position;Row;Density;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";20;50;9;20;1;10;1;false;731;
"undefined";"undefined";"undefined";"undefined";20;15;8;27;1;9;1;false;597;
"undefined";"undefined";"undefined";"undefined";20;0;5;24;1;6;1;false;599;
"undefined";"undefined";"undefined";"undefined";20;0;4;24;1;5;1;false;480;
"undefined";"undefined";"undefined";"undefined";0;100;7;18;1;8;1;false;504;
"undefined";"undefined";"undefined";"undefined";20;15;8;27;1;9;1;false;810;
"undefined";"undefined";"undefined";"undefined";20;100;0;24;1;1;1;true;484;
"undefined";"undefined";"undefined";"undefined";0;0;3;27;1;4;1;false;637;
"undefined";"undefined";"undefined";"undefined";20;100;3;24;1;4;1;false;707;
"undefined";"undefined";"undefined";"undefined";20;50;8;27;1;9;1;false;1178;
"undefined";"undefined";"undefined";"undefined";20;100;3;24;1;4;1;false;504;
"undefined";"undefined";"undefined";"undefined";0;15;0;27;1;1;1;true;528;
"undefined";"undefined";"undefined";"undefined";0;0;5;27;1;6;1;false;470;
"undefined";"undefined";"undefined";"undefined";20;0;8;24;1;9;1;false;720;
"undefined";"undefined";"undefined";"undefined";0;15;8;34;1;9;1;false;552;
"undefined";"undefined";"undefined";"undefined";0;0;5;27;1;6;1;false;538;
"undefined";"undefined";"undefined";"undefined";0;15;7;41;1;8;1;false;762;
"undefined";"undefined";"undefined";"undefined";0;100;0;12;1;1;1;true;510;
"undefined";"undefined";"undefined";"undefined";0;100;8;15;1;9;1;false;638;
"undefined";"undefined";"undefined";"undefined";0;15;8;34;1;9;1;false;694;
"undefined";"undefined";"undefined";"undefined";20;15;5;27;1;6;1;false;723;
"undefined";"undefined";"undefined";"undefined";20;50;5;34;1;6;1;false;1043;
"undefined";"undefined";"undefined";"undefined";0;15;0;27;1;1;1;true;621;
"undefined";"undefined";"undefined";"undefined";0;75;4;48;1;5;1;false;839;
"undefined";"undefined";"undefined";"undefined";0;75;7;41;1;8;1;false;841;
"undefined";"undefined";"undefined";"undefined";20;100;2;24;1;3;1;false;659;
"undefined";"undefined";"undefined";"undefined";20;0;2;17;1;3;1;false;571;
"undefined";"undefined";"undefined";"undefined";0;50;8;34;1;9;1;false;879;
"undefined";"undefined";"undefined";"undefined";0;15;1;34;1;2;1;false;592;
"undefined";"undefined";"undefined";"undefined";0;75;4;48;1;5;1;false;642;
"undefined";"undefined";"undefined";"undefined";0;15;5;48;1;6;1;false;738;
"undefined";"undefined";"undefined";"undefined";20;50;1;27;1;2;1;false;801;
"undefined";"undefined";"undefined";"undefined";0;50;9;27;1;10;1;false;584;
"undefined";"undefined";"undefined";"undefined";0;0;1;19;1;2;1;false;549;
"undefined";"undefined";"undefined";"undefined";0;75;2;41;1;3;1;false;795;
"undefined";"undefined";"undefined";"undefined";20;15;0;6;1;1;1;true;511;
"undefined";"undefined";"undefined";"undefined";0;100;4;21;1;5;1;false;471;
"undefined";"undefined";"undefined";"undefined";0;15;6;48;1;7;1;false;632;
"undefined";"undefined";"undefined";"undefined";0;15;7;41;1;8;1;false;643;
"undefined";"undefined";"undefined";"undefined";0;15;3;48;1;4;1;false;578;
"undefined";"undefined";"undefined";"undefined";20;50;8;27;1;9;1;false;1045;
"undefined";"undefined";"undefined";"undefined";20;75;8;20;1;9;1;false;635;
"undefined";"undefined";"undefined";"undefined";0;0;7;23;1;8;1;false;627;
"undefined";"undefined";"undefined";"undefined";0;100;1;15;1;2;1;false;506;
"undefined";"undefined";"undefined";"undefined";0;100;3;21;1;4;1;false;479;
"undefined";"undefined";"undefined";"undefined";20;15;2;20;1;3;1;false;631;
"undefined";"undefined";"undefined";"undefined";0;0;8;19;1;9;1;false;564;
"undefined";"undefined";"undefined";"undefined";0;50;5;48;1;6;1;false;883;
"undefined";"undefined";"undefined";"undefined";20;75;8;20;1;9;1;false;697;
"undefined";"undefined";"undefined";"undefined";20;75;3;34;1;4;1;false;613;
"undefined";"undefined";"undefined";"undefined";20;0;0;3;1;1;1;true;549;
"undefined";"undefined";"undefined";"undefined";0;75;7;41;1;8;1;false;753;
"undefined";"undefined";"undefined";"undefined";20;75;1;34;1;2;1;false;595;
"undefined";"undefined";"undefined";"undefined";20;0;7;24;1;8;1;false;602;
"undefined";"undefined";"undefined";"undefined";0;0;6;27;1;7;1;false;662;
"undefined";"undefined";"undefined";"undefined";20;15;3;27;1;4;1;false;572;
"undefined";"undefined";"undefined";"undefined";0;15;0;27;1;1;1;true;614;
"undefined";"undefined";"undefined";"undefined";20;15;0;6;1;1;1;true;481;
"undefined";"undefined";"undefined";"undefined";0;100;5;21;1;6;1;false;506;
"undefined";"undefined";"undefined";"undefined";20;100;7;17;1;8;1;false;666;
"undefined";"undefined";"undefined";"undefined";20;15;2;20;1;3;1;false;573;
"undefined";"undefined";"undefined";"undefined";0;15;4;48;1;5;1;false;642;
"undefined";"undefined";"undefined";"undefined";20;15;1;13;1;2;1;false;550;
"undefined";"undefined";"undefined";"undefined";20;75;6;34;1;7;1;false;950;
"undefined";"undefined";"undefined";"undefined";0;0;0;15;1;1;1;true;633;
"undefined";"undefined";"undefined";"undefined";20;100;1;24;1;2;1;false;643;
"undefined";"undefined";"undefined";"undefined";0;0;7;23;1;8;1;false;588;
"undefined";"undefined";"undefined";"undefined";20;0;0;3;1;1;1;true;443;
"undefined";"undefined";"undefined";"undefined";0;50;1;34;1;2;1;false;646;
"undefined";"undefined";"undefined";"undefined";0;15;2;41;1;3;1;false;559;
"undefined";"undefined";"undefined";"undefined";20;15;6;27;1;7;1;false;571;
"undefined";"undefined";"undefined";"undefined";20;0;0;3;1;1;1;true;637;
"undefined";"undefined";"undefined";"undefined";0;50;1;34;1;2;1;false;628;
"undefined";"undefined";"undefined";"undefined";0;15;1;34;1;2;1;false;559;
"undefined";"undefined";"undefined";"undefined";20;0;9;24;1;10;1;false;884;
"undefined";"undefined";"undefined";"undefined";20;0;7;24;1;8;1;false;664;
"undefined";"undefined";"undefined";"undefined";0;100;0;12;1;1;1;true;506;
"undefined";"undefined";"undefined";"undefined";20;0;5;24;1;6;1;false;521;
"undefined";"undefined";"undefined";"undefined";20;50;5;34;1;6;1;false;926;
"undefined";"undefined";"undefined";"undefined";20;100;4;24;1;5;1;false;688;
"undefined";"undefined";"undefined";"undefined";0;75;5;48;1;6;1;false;749;
"undefined";"undefined";"undefined";"undefined";20;0;8;24;1;9;1;false;591;
"undefined";"undefined";"undefined";"undefined";20;50;7;34;1;8;1;false;697;
"undefined";"undefined";"undefined";"undefined";20;50;0;20;1;1;1;true;700;
"undefined";"undefined";"undefined";"undefined";20;15;3;27;1;4;1;false;561;
"undefined";"undefined";"undefined";"undefined";0;75;0;27;1;1;1;true;538;
"undefined";"undefined";"undefined";"undefined";0;15;3;48;1;4;1;false;811;
"undefined";"undefined";"undefined";"undefined";0;100;2;18;1;3;1;false;528;
"undefined";"undefined";"undefined";"undefined";20;0;9;24;1;10;1;false;655;
"undefined";"undefined";"undefined";"undefined";20;0;3;24;1;4;1;false;559;
"undefined";"undefined";"undefined";"undefined";20;15;6;27;1;7;1;false;608;
"undefined";"undefined";"undefined";"undefined";20;0;6;24;1;7;1;false;604;
"undefined";"undefined";"undefined";"undefined";20;15;9;27;1;10;1;false;765;
"undefined";"undefined";"undefined";"undefined";20;15;1;13;1;2;1;false;670;
"undefined";"undefined";"undefined";"undefined";0;0;8;19;1;9;1;false;611;
"undefined";"undefined";"undefined";"undefined";0;0;8;19;1;9;1;false;580;
"undefined";"undefined";"undefined";"undefined";20;15;7;27;1;8;1;false;625;
"undefined";"undefined";"undefined";"undefined";20;100;4;24;1;5;1;false;588;
"undefined";"undefined";"undefined";"undefined";20;0;7;24;1;8;1;false;563;
"undefined";"undefined";"undefined";"undefined";20;100;6;24;1;7;1;false;607;
"undefined";"undefined";"undefined";"undefined";20;75;1;34;1;2;1;false;850;
"undefined";"undefined";"undefined";"undefined";0;0;4;27;1;5;1;false;701;
"undefined";"undefined";"undefined";"undefined";20;75;5;34;1;6;1;false;674;
"undefined";"undefined";"undefined";"undefined";20;0;1;10;1;2;1;false;603;
"undefined";"undefined";"undefined";"undefined";0;50;0;27;1;1;1;true;605;
"undefined";"undefined";"undefined";"undefined";20;75;0;27;1;1;1;true;603;
"undefined";"undefined";"undefined";"undefined";0;50;2;41;1;3;1;false;807;
"undefined";"undefined";"undefined";"undefined";20;0;3;24;1;4;1;false;606;
"undefined";"undefined";"undefined";"undefined";20;75;0;27;1;1;1;true;588;
"undefined";"undefined";"undefined";"undefined";20;100;5;24;1;6;1;false;678;
"undefined";"undefined";"undefined";"undefined";0;50;4;48;1;5;1;false;764;
"undefined";"undefined";"undefined";"undefined";20;15;3;27;1;4;1;false;601;
"undefined";"undefined";"undefined";"undefined";20;0;3;24;1;4;1;false;515;
"undefined";"undefined";"undefined";"undefined";0;0;2;23;1;3;1;false;700;
"undefined";"undefined";"undefined";"undefined";20;15;9;27;1;10;1;false;660;
"undefined";"undefined";"undefined";"undefined";20;50;7;34;1;8;1;false;1067;
"undefined";"undefined";"undefined";"undefined";20;100;9;3;1;10;1;false;643;
"undefined";"undefined";"undefined";"undefined";0;75;9;27;1;10;1;false;586;
"undefined";"undefined";"undefined";"undefined";0;75;9;27;1;10;1;false;556;
"undefined";"undefined";"undefined";"undefined";20;15;4;27;1;5;1;false;607;
"undefined";"undefined";"undefined";"undefined";0;15;5;48;1;6;1;false;804;
"undefined";"undefined";"undefined";"undefined";0;0;1;19;1;2;1;false;601;
"undefined";"undefined";"undefined";"undefined";20;50;0;20;1;1;1;true;696;
"undefined";"undefined";"undefined";"undefined";20;75;8;20;1;9;1;false;801;
"undefined";"undefined";"undefined";"undefined";0;100;9;12;1;10;1;false;556;
"undefined";"undefined";"undefined";"undefined";20;50;6;34;1;7;1;false;1204;
"undefined";"undefined";"undefined";"undefined";20;0;5;24;1;6;1;false;517;
"undefined";"undefined";"undefined";"undefined";20;75;9;13;1;10;1;false;744;
"undefined";"undefined";"undefined";"undefined";0;50;7;41;1;8;1;false;731;
"undefined";"undefined";"undefined";"undefined";0;75;1;34;1;2;1;false;725;
"undefined";"undefined";"undefined";"undefined";20;15;8;27;1;9;1;false;700;
"undefined";"undefined";"undefined";"undefined";0;15;9;27;1;10;1;false;672;
"undefined";"undefined";"undefined";"undefined";20;75;5;34;1;6;1;false;650;
"undefined";"undefined";"undefined";"undefined";0;0;0;15;1;1;1;true;611;
"undefined";"undefined";"undefined";"undefined";20;15;9;27;1;10;1;false;625;
"undefined";"undefined";"undefined";"undefined";0;50;1;34;1;2;1;false;802;
"undefined";"undefined";"undefined";"undefined";0;50;6;48;1;7;1;false;886;
"undefined";"undefined";"undefined";"undefined";20;100;5;24;1;6;1;false;548;
"undefined";"undefined";"undefined";"undefined";0;50;6;48;1;7;1;false;825;
"undefined";"undefined";"undefined";"undefined";0;15;2;41;1;3;1;false;781;
"undefined";"undefined";"undefined";"undefined";0;50;0;27;1;1;1;true;524;
"undefined";"undefined";"undefined";"undefined";20;100;8;10;1;9;1;false;843;
"undefined";"undefined";"undefined";"undefined";20;0;6;24;1;7;1;false;607;
"undefined";"undefined";"undefined";"undefined";20;50;4;34;1;5;1;false;1412;
"undefined";"undefined";"undefined";"undefined";20;15;4;27;1;5;1;false;620;
"undefined";"undefined";"undefined";"undefined";0;0;1;19;1;2;1;false;583;
"undefined";"undefined";"undefined";"undefined";0;0;9;15;1;10;1;false;545;
"undefined";"undefined";"undefined";"undefined";20;100;1;24;1;2;1;false;579;
"undefined";"undefined";"undefined";"undefined";0;15;2;41;1;3;1;false;715;
"undefined";"undefined";"undefined";"undefined";0;50;8;34;1;9;1;false;692;
"undefined";"undefined";"undefined";"undefined";0;50;3;48;1;4;1;false;807;
"undefined";"undefined";"undefined";"undefined";20;15;5;27;1;6;1;false;702;
"undefined";"undefined";"undefined";"undefined";0;100;6;21;1;7;1;false;520;
"undefined";"undefined";"undefined";"undefined";0;50;7;41;1;8;1;false;905;
"undefined";"undefined";"undefined";"undefined";20;100;1;24;1;2;1;false;593;
"undefined";"undefined";"undefined";"undefined";0;75;6;48;1;7;1;false;661;
"undefined";"undefined";"undefined";"undefined";20;50;8;27;1;9;1;false;956;
"undefined";"undefined";"undefined";"undefined";0;50;7;41;1;8;1;false;915;
"undefined";"undefined";"undefined";"undefined";20;0;1;10;1;2;1;false;540;
"undefined";"undefined";"undefined";"undefined";20;100;7;17;1;8;1;false;830;
"undefined";"undefined";"undefined";"undefined";0;75;7;41;1;8;1;false;539;
"undefined";"undefined";"undefined";"undefined";20;100;2;24;1;3;1;false;594;
"undefined";"undefined";"undefined";"undefined";0;50;4;48;1;5;1;false;1080;
"undefined";"undefined";"undefined";"undefined";0;0;4;27;1;5;1;false;517;
"undefined";"undefined";"undefined";"undefined";0;0;3;27;1;4;1;false;485;
"undefined";"undefined";"undefined";"undefined";0;75;1;34;1;2;1;false;635;
"undefined";"undefined";"undefined";"undefined";0;75;8;34;1;9;1;false;658;
"undefined";"undefined";"undefined";"undefined";0;75;3;48;1;4;1;false;722;
"undefined";"undefined";"undefined";"undefined";0;50;6;48;1;7;1;false;1399;
"undefined";"undefined";"undefined";"undefined";20;75;0;27;1;1;1;true;539;
"undefined";"undefined";"undefined";"undefined";0;100;9;12;1;10;1;false;564;
"undefined";"undefined";"undefined";"undefined";20;0;4;24;1;5;1;false;479;
"undefined";"undefined";"undefined";"undefined";0;15;9;27;1;10;1;false;608;
"undefined";"undefined";"undefined";"undefined";0;15;7;41;1;8;1;false;860;
"undefined";"undefined";"undefined";"undefined";20;50;9;20;1;10;1;false;875;
"undefined";"undefined";"undefined";"undefined";0;100;8;15;1;9;1;false;612;
"undefined";"undefined";"undefined";"undefined";0;0;9;15;1;10;1;false;598;
"undefined";"undefined";"undefined";"undefined";20;75;6;34;1;7;1;false;840;
"undefined";"undefined";"undefined";"undefined";20;15;7;27;1;8;1;false;665;
"undefined";"undefined";"undefined";"undefined";20;15;4;27;1;5;1;false;560;
"undefined";"undefined";"undefined";"undefined";0;100;0;12;1;1;1;true;490;
"undefined";"undefined";"undefined";"undefined";20;15;5;27;1;6;1;false;545;
"undefined";"undefined";"undefined";"undefined";20;50;3;34;1;4;1;false;997;
"undefined";"undefined";"undefined";"undefined";20;0;8;24;1;9;1;false;548;
"undefined";"undefined";"undefined";"undefined";20;50;1;27;1;2;1;false;1047;
"undefined";"undefined";"undefined";"undefined";20;0;1;10;1;2;1;false;535;
"undefined";"undefined";"undefined";"undefined";20;100;2;24;1;3;1;false;568;
"undefined";"undefined";"undefined";"undefined";20;100;6;24;1;7;1;false;743;
"undefined";"undefined";"undefined";"undefined";20;100;9;3;1;10;1;false;856;
"undefined";"undefined";"undefined";"undefined";20;0;6;24;1;7;1;false;527;
"undefined";"undefined";"undefined";"undefined";0;75;1;34;1;2;1;false;605;
"undefined";"undefined";"undefined";"undefined";20;50;2;34;1;3;1;false;958;
"undefined";"undefined";"undefined";"undefined";20;15;2;20;1;3;1;false;579;
"undefined";"undefined";"undefined";"undefined";20;50;7;34;1;8;1;false;1148;
"undefined";"undefined";"undefined";"undefined";20;15;1;13;1;2;1;false;621;
"undefined";"undefined";"undefined";"undefined";20;0;2;17;1;3;1;false;685;
"undefined";"undefined";"undefined";"undefined";0;0;3;27;1;4;1;false;672;
"undefined";"undefined";"undefined";"undefined";20;100;4;24;1;5;1;false;904;
"undefined";"undefined";"undefined";"undefined";20;50;4;34;1;5;1;false;1007;
"undefined";"undefined";"undefined";"undefined";0;75;3;48;1;4;1;false;675;
"undefined";"undefined";"undefined";"undefined";0;75;9;27;1;10;1;false;673;
"undefined";"undefined";"undefined";"undefined";0;75;5;48;1;6;1;false;1109;
"undefined";"undefined";"undefined";"undefined";0;100;4;21;1;5;1;false;647;
"undefined";"undefined";"undefined";"undefined";20;75;9;13;1;10;1;false;713;
"undefined";"undefined";"undefined";"undefined";0;75;0;27;1;1;1;true;560;
"undefined";"undefined";"undefined";"undefined";20;100;5;24;1;6;1;false;780;
"undefined";"undefined";"undefined";"undefined";20;75;7;27;1;8;1;false;1361;
"undefined";"undefined";"undefined";"undefined";0;0;6;27;1;7;1;false;621;
"undefined";"undefined";"undefined";"undefined";0;100;6;21;1;7;1;false;519;
"undefined";"undefined";"undefined";"undefined";0;100;7;18;1;8;1;false;540;
"undefined";"undefined";"undefined";"undefined";0;75;3;48;1;4;1;false;1047;
"undefined";"undefined";"undefined";"undefined";0;50;4;48;1;5;1;false;1170;
"undefined";"undefined";"undefined";"undefined";0;50;2;41;1;3;1;false;963;
"undefined";"undefined";"undefined";"undefined";20;15;7;27;1;8;1;false;653;
"undefined";"undefined";"undefined";"undefined";0;50;3;48;1;4;1;false;1034;
"undefined";"undefined";"undefined";"undefined";0;0;7;23;1;8;1;false;657;
"undefined";"undefined";"undefined";"undefined";0;100;5;21;1;6;1;false;498;
"undefined";"undefined";"undefined";"undefined";20;100;6;24;1;7;1;false;840;
"undefined";"undefined";"undefined";"undefined";0;75;6;48;1;7;1;false;993;
"undefined";"undefined";"undefined";"undefined";20;75;2;34;1;3;1;false;835;
"undefined";"undefined";"undefined";"undefined";20;75;2;34;1;3;1;false;629;
"undefined";"undefined";"undefined";"undefined";0;50;2;41;1;3;1;false;1278;
"undefined";"undefined";"undefined";"undefined";0;15;3;48;1;4;1;false;836;
"undefined";"undefined";"undefined";"undefined";20;0;4;24;1;5;1;false;636;
"undefined";"undefined";"undefined";"undefined";20;50;2;34;1;3;1;false;1050;
"undefined";"undefined";"undefined";"undefined";0;50;9;27;1;10;1;false;685;
"undefined";"undefined";"undefined";"undefined";0;100;8;15;1;9;1;false;501;
"undefined";"undefined";"undefined";"undefined";0;50;5;48;1;6;1;false;1088;
"undefined";"undefined";"undefined";"undefined";20;100;8;10;1;9;1;false;799;
"undefined";"undefined";"undefined";"undefined";20;75;3;34;1;4;1;false;823;
"undefined";"undefined";"undefined";"undefined";20;75;7;27;1;8;1;false;547;
"undefined";"undefined";"undefined";"undefined";0;50;0;27;1;1;1;true;739;
"undefined";"undefined";"undefined";"undefined";0;100;1;15;1;2;1;false;468;
"undefined";"undefined";"undefined";"undefined";0;50;5;48;1;6;1;false;910;
"undefined";"undefined";"undefined";"undefined";20;50;6;34;1;7;1;false;1385;
"undefined";"undefined";"undefined";"undefined";0;100;7;18;1;8;1;false;509;
"undefined";"undefined";"undefined";"undefined";20;100;3;24;1;4;1;false;573;
"undefined";"undefined";"undefined";"undefined";0;75;6;48;1;7;1;false;758;
"undefined";"undefined";"undefined";"undefined";0;100;3;21;1;4;1;false;532;
"undefined";"undefined";"undefined";"undefined";0;15;9;27;1;10;1;false;648;
"undefined";"undefined";"undefined";"undefined";20;75;2;34;1;3;1;false;480;
"undefined";"undefined";"undefined";"undefined";0;15;6;48;1;7;1;false;722;
"undefined";"undefined";"undefined";"undefined";20;50;4;34;1;5;1;false;1115;
"undefined";"undefined";"undefined";"undefined";0;0;0;15;1;1;1;true;664;
"undefined";"undefined";"undefined";"undefined";0;0;9;15;1;10;1;false;496;
"undefined";"undefined";"undefined";"undefined";0;100;1;15;1;2;1;false;501;
"undefined";"undefined";"undefined";"undefined";0;100;4;21;1;5;1;false;470;
"undefined";"undefined";"undefined";"undefined";0;100;9;12;1;10;1;false;434;
"undefined";"undefined";"undefined";"undefined";0;75;8;34;1;9;1;false;1391;
