"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Chain_Length;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;8;4;3;1;10;1;false;878;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;4;1;1;10;1;false;1370;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;4;3;1;7;1;false;1179;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;4;1;1;8;1;false;788;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;4;2;1;8;1;false;1704;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;4;2;1;6;1;false;851;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;4;2;1;4;1;false;929;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;4;1;1;7;1;false;803;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;4;3;1;6;1;false;726;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;4;2;1;7;1;false;865;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;4;1;1;7;1;false;825;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;4;1;1;4;1;false;870;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;4;1;1;10;1;false;850;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;4;1;1;4;1;false;860;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;4;2;1;10;1;false;1125;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;4;1;1;3;1;false;1214;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;4;2;1;10;1;false;790;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;4;1;3;1;false;697;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;4;0;1;2;1;false;731;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;4;0;1;6;1;false;1016;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;4;3;1;2;1;false;784;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;4;2;1;3;1;false;1008;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;4;2;1;6;1;false;874;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;4;1;3;1;false;915;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;4;1;2;1;false;563;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;4;1;1;6;1;false;1456;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;4;1;2;1;false;789;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;4;2;1;6;1;false;816;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;9;4;4;1;1;1;true;658;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;4;0;1;8;1;false;828;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;4;4;1;1;4;1;false;839;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;4;1;9;1;false;724;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;4;3;1;6;1;false;796;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;4;1;3;1;false;595;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;4;1;1;4;1;false;799;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;4;0;1;8;1;false;856;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;4;2;1;1;1;true;856;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;4;2;1;10;1;false;1023;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;1;4;4;1;8;1;false;688;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;4;3;1;3;1;false;933;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;4;1;1;4;1;false;776;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;4;0;1;7;1;false;833;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;4;1;4;1;false;622;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;4;2;1;8;1;false;762;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;4;3;1;6;1;false;929;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;2;4;3;1;1;1;true;874;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;4;1;1;8;1;false;1206;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;4;3;1;7;1;false;809;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;4;1;1;4;1;false;915;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;4;3;1;7;1;false;1102;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;4;0;1;6;1;false;1103;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;4;2;1;3;1;false;835;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;4;2;1;2;1;false;886;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;4;2;1;4;1;false;797;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;4;1;6;1;false;767;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;4;3;1;1;1;true;738;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;4;0;1;4;1;false;1089;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;4;1;1;3;1;false;946;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;4;3;1;3;1;false;823;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;4;4;1;2;1;false;796;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;4;1;1;10;1;false;880;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;4;1;1;2;1;false;897;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;4;1;1;4;1;false;878;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;4;0;1;6;1;false;852;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;8;4;3;1;7;1;false;916;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;4;1;7;1;false;850;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;4;0;1;8;1;false;1274;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;4;1;1;4;1;false;973;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;4;1;1;3;1;false;744;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;4;3;1;10;1;false;842;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;4;1;1;2;1;false;970;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;4;2;1;6;1;false;926;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;4;3;1;8;1;false;864;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;4;1;1;1;true;800;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;4;2;1;6;1;false;967;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;4;2;1;4;1;false;952;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;5;4;0;1;1;1;true;863;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;4;0;1;5;1;false;857;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;4;1;1;2;1;false;868;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;9;4;4;1;2;1;false;727;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;4;1;9;1;false;682;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;5;4;0;1;8;1;false;846;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;4;1;2;1;false;787;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;4;2;1;1;1;true;885;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;4;2;1;7;1;false;844;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;4;1;1;1;true;703;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;4;4;1;1;5;1;false;809;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;4;1;1;1;true;841;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;2;4;3;1;10;1;false;820;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;4;2;1;3;1;false;857;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;4;2;1;6;1;false;1156;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;4;2;1;8;1;false;744;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;3;4;2;1;1;1;true;831;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;4;4;1;1;5;1;false;833;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;4;3;1;10;1;false;796;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;4;3;1;2;1;false;844;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;4;3;1;3;1;false;784;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;4;3;1;2;1;false;740;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;4;1;1;1;1;true;818;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;4;1;1;9;1;false;833;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;4;1;9;1;false;629;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;4;1;1;5;1;false;826;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;4;2;1;5;1;false;886;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;5;4;0;1;6;1;false;1119;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;4;1;1;5;1;false;782;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;1;4;4;1;1;1;true;646;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;9;4;4;1;8;1;false;566;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;4;2;1;7;1;false;744;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;2;4;3;1;10;1;false;714;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;4;1;4;1;false;640;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;4;3;1;9;1;false;818;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;4;1;1;8;1;false;1203;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;4;1;6;1;false;817;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;4;1;1;1;1;true;942;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;4;2;1;2;1;false;795;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;4;2;1;8;1;false;812;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;4;3;1;4;1;false;880;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;4;4;1;1;9;1;false;998;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;4;1;1;6;1;false;946;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;4;1;5;1;false;778;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;4;1;6;1;false;740;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;4;1;1;9;1;false;1105;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;4;1;9;1;false;1050;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;1;4;4;1;10;1;false;704;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;4;4;1;5;1;false;651;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;4;0;1;9;1;false;1470;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;4;2;1;10;1;false;983;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;4;3;1;10;1;false;798;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;4;1;1;5;1;false;864;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;4;1;8;1;false;765;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;4;1;9;1;false;615;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;2;4;3;1;4;1;false;733;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;8;4;3;1;9;1;false;851;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;4;3;1;4;1;false;686;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;4;3;1;6;1;false;662;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;4;3;1;2;1;false;677;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;4;1;8;1;false;711;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;4;1;10;1;false;798;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;4;0;1;3;1;false;869;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;4;3;1;10;1;false;797;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;4;3;1;2;1;false;716;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;4;1;1;2;1;false;975;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;4;2;1;8;1;false;884;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;4;1;2;1;false;737;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;4;3;1;3;1;false;881;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;1;4;4;1;8;1;false;711;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;4;3;1;1;1;true;686;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;9;4;4;1;10;1;false;762;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;4;1;6;1;false;801;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;4;0;1;6;1;false;1121;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;4;2;1;5;1;false;1311;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;4;4;1;3;1;false;774;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;3;4;2;1;1;1;true;1211;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;4;1;7;1;false;793;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;4;0;1;10;1;false;929;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;4;1;1;9;1;false;870;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;4;2;1;5;1;false;940;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;3;4;2;1;8;1;false;1255;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;4;3;1;8;1;false;777;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;4;3;1;2;1;false;878;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;4;2;1;2;1;false;890;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;4;2;1;10;1;false;1042;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;4;3;1;7;1;false;961;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;4;2;1;7;1;false;865;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;4;2;1;2;1;false;863;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;4;2;1;9;1;false;873;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;4;2;1;5;1;false;1179;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;4;3;1;3;1;false;800;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;4;2;1;5;1;false;1047;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;4;1;1;5;1;false;945;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;4;3;1;10;1;false;1043;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;4;3;1;1;1;true;939;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;4;1;1;6;1;false;915;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;4;1;1;7;1;false;990;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;8;4;3;1;8;1;false;806;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;4;3;1;9;1;false;1197;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;4;2;1;5;1;false;1000;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;4;3;1;6;1;false;949;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;4;3;1;5;1;false;800;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;4;0;1;1;1;true;1169;
