"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Feedback;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;3;_to_be_written_;1;6;1;false;1009;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;4;_to_be_written_;1;5;1;false;1683;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;1;_to_be_written_;1;3;1;false;744;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;2;_to_be_written_;1;8;1;false;756;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;_to_be_written_;1;3;1;false;1204;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;1;_to_be_written_;1;4;1;false;841;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;3;_to_be_written_;1;6;1;false;1208;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;3;_to_be_written_;1;2;1;false;1349;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;3;_to_be_written_;1;8;1;false;783;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;3;_to_be_written_;1;3;1;false;1052;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;2;_to_be_written_;1;2;1;false;1009;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;4;_to_be_written_;1;4;1;false;794;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;_to_be_written_;1;9;1;false;495;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;2;_to_be_written_;1;1;1;true;556;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;_to_be_written_;1;9;1;false;713;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;_to_be_written_;1;7;1;false;838;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;_to_be_written_;1;2;1;false;769;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;1;_to_be_written_;1;5;1;false;1035;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;0;_to_be_written_;1;7;1;false;758;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;1;_to_be_written_;1;3;1;false;694;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;0;_to_be_written_;1;2;1;false;563;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;3;_to_be_written_;1;9;1;false;908;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;2;_to_be_written_;1;1;1;true;685;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;_to_be_written_;1;1;1;true;611;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;1;_to_be_written_;1;7;1;false;822;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;2;_to_be_written_;1;4;1;false;887;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;_to_be_written_;1;3;1;false;964;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;3;_to_be_written_;1;5;1;false;1128;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;_to_be_written_;1;4;1;false;618;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;2;_to_be_written_;1;1;1;true;715;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;_to_be_written_;1;9;1;false;1255;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;1;_to_be_written_;1;10;1;false;816;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;0;_to_be_written_;1;1;1;true;894;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;2;_to_be_written_;1;6;1;false;1008;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;_to_be_written_;1;5;1;false;1088;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;2;_to_be_written_;1;7;1;false;689;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;3;_to_be_written_;1;9;1;false;878;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;1;_to_be_written_;1;10;1;false;640;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;0;_to_be_written_;1;10;1;false;1052;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;3;_to_be_written_;1;5;1;false;1177;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;4;_to_be_written_;1;5;1;false;945;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;_to_be_written_;1;1;1;true;922;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;_to_be_written_;1;2;1;false;955;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;3;_to_be_written_;1;1;1;true;660;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;_to_be_written_;1;9;1;false;1025;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;_to_be_written_;1;1;1;true;1012;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;_to_be_written_;1;5;1;false;1015;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;3;_to_be_written_;1;1;1;true;1102;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;1;_to_be_written_;1;6;1;false;815;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;2;_to_be_written_;1;4;1;false;907;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;3;_to_be_written_;1;2;1;false;1094;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;0;_to_be_written_;1;3;1;false;1089;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;_to_be_written_;1;5;1;false;834;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;1;_to_be_written_;1;2;1;false;1276;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;_to_be_written_;1;8;1;false;1037;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;3;_to_be_written_;1;9;1;false;707;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;_to_be_written_;1;1;1;true;584;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;_to_be_written_;1;4;1;false;1318;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;2;_to_be_written_;1;10;1;false;745;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;_to_be_written_;1;9;1;false;1412;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;_to_be_written_;1;7;1;false;1126;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;1;_to_be_written_;1;8;1;false;932;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;_to_be_written_;1;1;1;true;1179;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;1;_to_be_written_;1;9;1;false;622;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;3;_to_be_written_;1;1;1;true;594;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;2;_to_be_written_;1;8;1;false;565;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;2;_to_be_written_;1;8;1;false;930;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;1;_to_be_written_;1;5;1;false;851;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;1;_to_be_written_;1;5;1;false;770;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;2;_to_be_written_;1;7;1;false;1128;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;1;_to_be_written_;1;2;1;false;571;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;2;_to_be_written_;1;3;1;false;774;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;1;_to_be_written_;1;9;1;false;815;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;_to_be_written_;1;9;1;false;1121;
